,support,itemsets,length,frequency
479,0.0037316748111950243,"frozenset({'FPEF', 'IPU'})",2,42
282,0.003109729009329187,"frozenset({'CBEF', 'Saibo'})",2,35
265,0.002576632607729898,"frozenset({'Saibo', 'CB'})",2,29
483,0.001776988005330964,"frozenset({'FPEF', 'Ryutai'})",2,20
401,0.0015992892047978675,"frozenset({'ELF', 'MSPR'})",2,18
484,0.0014215904042647713,"frozenset({'SCOF', 'FPEF'})",2,16
550,0.0013327410039982231,"frozenset({'Ryutai', 'IPU'})",2,15
273,0.001243891603731675,"frozenset({'CBEF', 'IPU'})",2,14
551,0.0011550422034651267,"frozenset({'SCOF', 'IPU'})",2,13
278,0.0010661928031985785,"frozenset({'CBEF', 'MSPR'})",2,12
679,0.0010661928031985785,"frozenset({'SCOF', 'Ryutai'})",2,12
233,0.0010661928031985785,"frozenset({'Aquatic Habitat', 'MSPR'})",2,12
664,0.0009773434029320303,"frozenset({'Ryutai', 'PCRF'})",2,11
279,0.000444247001332741,"frozenset({'CBEF', 'PCRF'})",2,5
665,0.000444247001332741,"frozenset({'SCOF', 'PCRF'})",2,5
549,0.000444247001332741,"frozenset({'IPU', 'PCRF'})",2,5
482,0.000444247001332741,"frozenset({'FPEF', 'PCRF'})",2,5
230,0.00035539760106619283,"frozenset({'Aquatic Habitat', 'CBEF'})",2,4
552,0.0002665482007996446,"frozenset({'Saibo', 'IPU'})",2,3
547,0.0002665482007996446,"frozenset({'MSPR', 'IPU'})",2,3
680,0.00017769880053309641,"frozenset({'Saibo', 'Ryutai'})",2,2
640,0.00017769880053309641,"frozenset({'MSPR', 'Ryutai'})",2,2
268,0.00017769880053309641,"frozenset({'CBEF', 'Confocal Microscope'})",2,2
642,8.884940026654821e-05,"frozenset({'TELLAS', 'MSPR'})",2,1
270,8.884940026654821e-05,"frozenset({'CBEF', 'FROST'})",2,1
262,8.884940026654821e-05,"frozenset({'CB', 'IPU'})",2,1
289,8.884940026654821e-05,"frozenset({'CCE', 'MSPR'})",2,1
285,8.884940026654821e-05,"frozenset({'Saibo', 'CBEF-L'})",2,1
284,8.884940026654821e-05,"frozenset({'CBEF-L', 'Confocal Microscope'})",2,1
231,8.884940026654821e-05,"frozenset({'Aquatic Habitat', 'IPU'})",2,1
480,8.884940026654821e-05,"frozenset({'FPEF', 'MSPR'})",2,1
486,8.884940026654821e-05,"frozenset({'HSRC', 'FROST'})",2,1
502,8.884940026654821e-05,"frozenset({'KOBAIRO Rack', 'GHF'})",2,1
489,8.884940026654821e-05,"frozenset({'MSPR', 'FROST'})",2,1
356,8.884940026654821e-05,"frozenset({'MSPR', 'Confocal Microscope'})",2,1
400,8.884940026654821e-05,"frozenset({'HSRC', 'ELF'})",2,1
