,support,itemsets,length,frequency
275,0.004886717014660151,"frozenset({'CBEF', 'MELFI'})",2,55
481,0.0018658374055975121,"frozenset({'FPEF', 'MWA'})",2,21
548,0.0007107952021323857,"frozenset({'MWA', 'IPU'})",2,8
605,0.0007107952021323857,"frozenset({'Saibo', 'MELFI'})",2,8
274,0.0005330964015992892,"frozenset({'KFT', 'CBEF'})",2,6
590,0.0005330964015992892,"frozenset({'MSPR', 'MELFI'})",2,6
587,0.0005330964015992892,"frozenset({'MDS', 'Saibo'})",2,6
647,0.0005330964015992892,"frozenset({'MWA', 'Ryutai'})",2,6
263,0.00035539760106619283,"frozenset({'CB', 'MELFI'})",2,4
516,0.00035539760106619283,"frozenset({'GN2', 'MSPR'})",2,4
546,0.0002665482007996446,"frozenset({'MSG', 'IPU'})",2,3
277,0.0002665482007996446,"frozenset({'MSG', 'CBEF'})",2,3
271,0.0002665482007996446,"frozenset({'CBEF', 'GLACIER'})",2,3
560,0.00017769880053309641,"frozenset({'JEM-EF', 'NanoRacks External Platform'})",2,2
232,0.00017769880053309641,"frozenset({'Aquatic Habitat', 'MELFI'})",2,2
566,0.00017769880053309641,"frozenset({'KFT', 'MSPR'})",2,2
513,0.00017769880053309641,"frozenset({'Saibo', 'GLACIER'})",2,2
533,0.00017769880053309641,"frozenset({'Holter', 'IPU'})",2,2
490,0.00017769880053309641,"frozenset({'SABL', 'FROST'})",2,2
487,0.00017769880053309641,"frozenset({'MELFI', 'FROST'})",2,2
485,0.00017769880053309641,"frozenset({'GLACIER', 'FROST'})",2,2
276,0.00017769880053309641,"frozenset({'MERLIN', 'CBEF'})",2,2
357,0.00017769880053309641,"frozenset({'SABL', 'Confocal Microscope'})",2,2
281,0.00017769880053309641,"frozenset({'CBEF', 'SABL'})",2,2
399,0.00017769880053309641,"frozenset({'GN2', 'ELF'})",2,2
341,0.00017769880053309641,"frozenset({'FPEF', 'CIR'})",2,2
639,8.884940026654821e-05,"frozenset({'MWA', 'MSPR'})",2,1
641,8.884940026654821e-05,"frozenset({'SABL', 'MSPR'})",2,1
559,8.884940026654821e-05,"frozenset({'JEM-EF', 'MISSE-FF'})",2,1
553,8.884940026654821e-05,"frozenset({'WORF', 'IPU'})",2,1
624,8.884940026654821e-05,"frozenset({'MSG', 'PCRF'})",2,1
558,8.884940026654821e-05,"frozenset({'NanoRacks CubeSat Deployer', 'J-SSOD'})",2,1
267,8.884940026654821e-05,"frozenset({'CB', 'UMS'})",2,1
266,8.884940026654821e-05,"frozenset({'TVIS', 'CB'})",2,1
264,8.884940026654821e-05,"frozenset({'MERLIN', 'CB'})",2,1
261,8.884940026654821e-05,"frozenset({'EXPRESS Rack', 'CB'})",2,1
260,8.884940026654821e-05,"frozenset({'CIR', 'CB'})",2,1
269,8.884940026654821e-05,"frozenset({'CBEF', 'Double Coldbag'})",2,1
272,8.884940026654821e-05,"frozenset({'Holter', 'CBEF'})",2,1
280,8.884940026654821e-05,"frozenset({'Polar', 'CBEF'})",2,1
299,8.884940026654821e-05,"frozenset({'CEVIS', 'IPU'})",2,1
283,8.884940026654821e-05,"frozenset({'TVIS', 'CBEF'})",2,1
236,8.884940026654821e-05,"frozenset({'ELF', 'BFF'})",2,1
234,8.884940026654821e-05,"frozenset({'Aquatic Habitat', 'MWA'})",2,1
172,8.884940026654821e-05,"frozenset({'CBEF', 'ALTEA'})",2,1
201,8.884940026654821e-05,"frozenset({'ARED', 'IPU'})",2,1
198,8.884940026654821e-05,"frozenset({'ARED', 'GHF'})",2,1
190,8.884940026654821e-05,"frozenset({'CB', 'ARED'})",2,1
474,8.884940026654821e-05,"frozenset({'SCOF', 'FIR'})",2,1
467,8.884940026654821e-05,"frozenset({'FIR', 'IPU'})",2,1
465,8.884940026654821e-05,"frozenset({'FPEF', 'FIR'})",2,1
488,8.884940026654821e-05,"frozenset({'MERLIN', 'FROST'})",2,1
442,8.884940026654821e-05,"frozenset({'EXPRESS Rack', 'MSPR'})",2,1
372,8.884940026654821e-05,"frozenset({'Saibo', 'Double Coldbag'})",2,1
428,8.884940026654821e-05,"frozenset({'FPEF', 'EXPRESS Rack'})",2,1
402,8.884940026654821e-05,"frozenset({'SlingShot', 'ELF'})",2,1
387,8.884940026654821e-05,"frozenset({'FPEF', 'ELC'})",2,1
