,support,itemsets,length,frequency
210,0.10404264771212794,"frozenset({'TVIS', 'ARED'})",2,1171
191,0.0844069302532208,"frozenset({'ARED', 'CEVIS'})",2,950
311,0.07712127943136383,"frozenset({'TVIS', 'CEVIS'})",2,868
219,0.026299422478898268,"frozenset({'Actiwatch', 'HRF-1'})",2,296
601,0.021412705464238117,"frozenset({'RC', 'MELFI'})",2,241
687,0.017681030653043092,"frozenset({'TVIS', 'Ultrasound'})",2,199
211,0.017414482452243446,"frozenset({'Ultrasound', 'ARED'})",2,195
312,0.014038205242114616,"frozenset({'Ultrasound', 'CEVIS'})",2,158
653,0.011461572634384718,"frozenset({'SLAMMD', 'Mass Measurement Device'})",2,129
306,0.009773434029320302,"frozenset({'PFS', 'CEVIS'})",2,110
221,0.009684584629053753,"frozenset({'Holter', 'Actiwatch'})",2,108
468,0.009506885828520658,"frozenset({'FIR', 'LMM'})",2,107
595,0.00639715681919147,"frozenset({'PCBA', 'MELFI'})",2,72
594,0.005686361617059085,"frozenset({'MELFI', 'Mass Measurement Device'})",2,64
661,0.005508662816525988,"frozenset({'PCBA', 'SLAMMD'})",2,62
651,0.005508662816525988,"frozenset({'PCBA', 'Mass Measurement Device'})",2,62
604,0.005508662816525988,"frozenset({'SLAMMD', 'MELFI'})",2,62
318,0.0049755664149267,"frozenset({'EXPRESS Rack', 'CGBA'})",2,56
505,0.004087072412261217,"frozenset({'GLACIER', 'MELFI'})",2,46
544,0.00346512661039538,"frozenset({'Holter', 'Ultrasound'})",2,39
506,0.0026654820079964462,"frozenset({'MERLIN', 'GLACIER'})",2,30
439,0.0026654820079964462,"frozenset({'MERLIN', 'EXPRESS Rack'})",2,30
226,0.002576632607729898,"frozenset({'Actiwatch', 'Spectrum'})",2,29
430,0.0023100844069302534,"frozenset({'EXPRESS Rack', 'GLACIER'})",2,26
228,0.002221235006663705,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
538,0.002221235006663705,"frozenset({'Holter', 'PFS'})",2,25
361,0.002132385606397157,"frozenset({'DECLIC', 'EXPRESS Rack'})",2,24
588,0.0020435362061306086,"frozenset({'MERLIN', 'MELFI'})",2,23
346,0.0020435362061306086,"frozenset({'CIR', 'MWA'})",2,23
298,0.0020435362061306086,"frozenset({'Holter', 'CEVIS'})",2,23
386,0.0018658374055975121,"frozenset({'EXPRESS Rack', 'ELC'})",2,21
542,0.0015992892047978675,"frozenset({'Holter', 'Spectrum'})",2,18
438,0.0015104398045313193,"frozenset({'EXPRESS Rack', 'MELFI'})",2,17
325,0.0015104398045313193,"frozenset({'MSG', 'CGBA'})",2,17
450,0.0014215904042647713,"frozenset({'EXPRESS Rack', 'Plant Habitat'})",2,16
243,0.0014215904042647713,"frozenset({'MSG', 'BXF'})",2,16
349,0.0013327410039982231,"frozenset({'CIR', 'SoFIE'})",2,15
609,0.0013327410039982231,"frozenset({'Veggie', 'MELFI'})",2,15
529,0.0013327410039982231,"frozenset({'PFS', 'HRF-2'})",2,15
175,0.0011550422034651267,"frozenset({'EXPRESS Rack', 'ALTEA'})",2,13
177,0.0010661928031985785,"frozenset({'LIDAL', 'ALTEA'})",2,12
440,0.0010661928031985785,"frozenset({'MSG', 'EXPRESS Rack'})",2,12
345,0.0009773434029320303,"frozenset({'MSG', 'CIR'})",2,11
527,0.0009773434029320303,"frozenset({'Holter', 'HRF-2'})",2,11
290,0.0009773434029320303,"frozenset({'CGBA', 'CEVIS'})",2,11
339,0.0009773434029320303,"frozenset({'EXPRESS Rack', 'CIR'})",2,11
526,0.0009773434029320303,"frozenset({'HRF-1', 'Ultrasound'})",2,11
572,0.0009773434029320303,"frozenset({'LMM', 'MELFI'})",2,11
534,0.000888494002665482,"frozenset({'Holter', 'MELFI'})",2,10
631,0.000888494002665482,"frozenset({'MSG', 'SUBSA'})",2,10
565,0.000888494002665482,"frozenset({'KFT', 'MELFI'})",2,10
287,0.000888494002665482,"frozenset({'Holter', 'CBPD'})",2,10
589,0.000888494002665482,"frozenset({'MSG', 'MELFI'})",2,10
593,0.000888494002665482,"frozenset({'MWA', 'MELFI'})",2,10
395,0.0007996446023989338,"frozenset({'SPHERES', 'ELC'})",2,9
313,0.0007996446023989338,"frozenset({'WORF', 'CEVIS'})",2,9
540,0.0007996446023989338,"frozenset({'Holter', 'RC'})",2,9
596,0.0007996446023989338,"frozenset({'PFS', 'MELFI'})",2,9
525,0.0007996446023989338,"frozenset({'HRF-1', 'SLAMMD'})",2,9
523,0.0007996446023989338,"frozenset({'HRF-1', 'Mass Measurement Device'})",2,9
