,support,itemsets,length,frequency
274,0.0005330964015992892,"frozenset({'CBEF', 'KFT'})",2,6
616,0.0005330964015992892,"frozenset({'MERLIN', 'SABL'})",2,6
329,0.0005330964015992892,"frozenset({'CGBA', 'Plant Habitat'})",2,6
164,0.0005330964015992892,"frozenset({'ABRS', 'Veggie'})",2,6
168,0.0005330964015992892,"frozenset({'ADSEP', 'CellCult'})",2,6
279,0.000444247001332741,"frozenset({'CBEF', 'PCRF'})",2,5
665,0.000444247001332741,"frozenset({'PCRF', 'SCOF'})",2,5
166,0.00035539760106619283,"frozenset({'BFF', 'ADSEP'})",2,4
230,0.00035539760106619283,"frozenset({'CBEF', 'Aquatic Habitat'})",2,4
324,0.00035539760106619283,"frozenset({'MERLIN', 'CGBA'})",2,4
671,0.0002665482007996446,"frozenset({'Plant Habitat', 'SABL'})",2,3
331,0.0002665482007996446,"frozenset({'CGBA', 'SABL'})",2,3
569,0.00017769880053309641,"frozenset({'Veggie', 'KFT'})",2,2
154,0.00017769880053309641,"frozenset({'ABRS', 'KFT'})",2,2
170,0.00017769880053309641,"frozenset({'SABL', 'ADSEP'})",2,2
276,0.00017769880053309641,"frozenset({'MERLIN', 'CBEF'})",2,2
281,0.00017769880053309641,"frozenset({'CBEF', 'SABL'})",2,2
355,0.00017769880053309641,"frozenset({'SABL', 'CellCult'})",2,2
618,8.884940026654821e-05,"frozenset({'MERLIN', 'STaARS-1 EF'})",2,1
150,8.884940026654821e-05,"frozenset({'ABRS', 'CGBA'})",2,1
257,8.884940026654821e-05,"frozenset({'Bone Densitometer', 'Rodent Research'})",2,1
252,8.884940026654821e-05,"frozenset({'CGBA', 'Biotube'})",2,1
237,8.884940026654821e-05,"frozenset({'MERLIN', 'BFF'})",2,1
167,8.884940026654821e-05,"frozenset({'Bioculture System', 'ADSEP'})",2,1
158,8.884940026654821e-05,"frozenset({'ABRS', 'MERLIN'})",2,1
156,8.884940026654821e-05,"frozenset({'ABRS', 'MDS'})",2,1
500,8.884940026654821e-05,"frozenset({'Fruit Fly Lab', 'Rodent Research'})",2,1
410,8.884940026654821e-05,"frozenset({'Veggie', 'EMCS'})",2,1
