,support,itemsets,length,frequency
290,0.0009773434029320303,"frozenset({'CGBA', 'CEVIS'})",2,11
203,0.0002665482007996446,"frozenset({'MERLIN', 'ARED'})",2,3
332,0.0002665482007996446,"frozenset({'CGBA', 'SLAMMD'})",2,3
192,0.00017769880053309641,"frozenset({'CGBA', 'ARED'})",2,2
321,0.00017769880053309641,"frozenset({'Holter', 'CGBA'})",2,2
612,0.00017769880053309641,"frozenset({'MERLIN', 'PCBA'})",2,2
613,0.00017769880053309641,"frozenset({'MERLIN', 'PFS'})",2,2
615,0.00017769880053309641,"frozenset({'MERLIN', 'Portable Pulmonary Function System'})",2,2
327,0.00017769880053309641,"frozenset({'CGBA', 'PCBA'})",2,2
328,0.00017769880053309641,"frozenset({'PFS', 'CGBA'})",2,2
330,0.00017769880053309641,"frozenset({'Portable Pulmonary Function System', 'CGBA'})",2,2
259,0.00017769880053309641,"frozenset({'Ultrasound', 'Bone Densitometer'})",2,2
579,8.884940026654821e-05,"frozenset({'MERLIN', 'MARES'})",2,1
619,8.884940026654821e-05,"frozenset({'MERLIN', 'TEPC'})",2,1
245,8.884940026654821e-05,"frozenset({'Bio-Monitor', 'Bio-Analyzer'})",2,1
272,8.884940026654821e-05,"frozenset({'Holter', 'CBEF'})",2,1
317,8.884940026654821e-05,"frozenset({'CGBA', 'EPM'})",2,1
283,8.884940026654821e-05,"frozenset({'CBEF', 'TVIS'})",2,1
333,8.884940026654821e-05,"frozenset({'CGBA', 'TEPC'})",2,1
179,8.884940026654821e-05,"frozenset({'MERLIN', 'ALTEA'})",2,1
172,8.884940026654821e-05,"frozenset({'ALTEA', 'CBEF'})",2,1
163,8.884940026654821e-05,"frozenset({'ABRS', 'TVIS'})",2,1
162,8.884940026654821e-05,"frozenset({'ABRS', 'SLAMMD'})",2,1
334,8.884940026654821e-05,"frozenset({'CGBA', 'TVIS'})",2,1
335,8.884940026654821e-05,"frozenset({'CGBA', 'Ultrasound'})",2,1
