,support,itemsets,length,frequency
210,0.10404264771212794,"frozenset({'ARED', 'TVIS'})",2,1171
191,0.0844069302532208,"frozenset({'CEVIS', 'ARED'})",2,950
311,0.07712127943136383,"frozenset({'CEVIS', 'TVIS'})",2,868
687,0.017681030653043092,"frozenset({'Ultrasound', 'TVIS'})",2,199
211,0.017414482452243446,"frozenset({'ARED', 'Ultrasound'})",2,195
312,0.014038205242114616,"frozenset({'CEVIS', 'Ultrasound'})",2,158
666,0.013238560639715681,"frozenset({'PFS', 'Portable Pulmonary Function System'})",2,149
416,0.010306530430919591,"frozenset({'Holter', 'EPM'})",2,116
306,0.009773434029320302,"frozenset({'PFS', 'CEVIS'})",2,110
221,0.009684584629053753,"frozenset({'Holter', 'Actiwatch'})",2,108
307,0.009506885828520658,"frozenset({'Portable Pulmonary Function System', 'CEVIS'})",2,107
661,0.005508662816525988,"frozenset({'SLAMMD', 'PCBA'})",2,62
544,0.00346512661039538,"frozenset({'Holter', 'Ultrasound'})",2,39
217,0.00346512661039538,"frozenset({'EPM', 'Actiwatch'})",2,39
228,0.002221235006663705,"frozenset({'Ultrasound', 'Actiwatch'})",2,25
538,0.002221235006663705,"frozenset({'PFS', 'Holter'})",2,25
298,0.0020435362061306086,"frozenset({'Holter', 'CEVIS'})",2,23
420,0.0018658374055975121,"frozenset({'PFS', 'EPM'})",2,21
293,0.001776988005330964,"frozenset({'CEVIS', 'EPM'})",2,20
177,0.0010661928031985785,"frozenset({'ALTEA', 'LIDAL'})",2,12
417,0.000888494002665482,"frozenset({'MARES', 'EPM'})",2,10
287,0.000888494002665482,"frozenset({'Holter', 'CBPD'})",2,10
540,0.0007996446023989338,"frozenset({'Holter', 'RC'})",2,9
286,0.0007996446023989338,"frozenset({'EPM', 'CBPD'})",2,9
667,0.0007996446023989338,"frozenset({'PFS', 'RC'})",2,9
425,0.0007107952021323857,"frozenset({'Ultrasound', 'EPM'})",2,8
541,0.0005330964015992892,"frozenset({'Holter', 'SLAMMD'})",2,6
214,0.000444247001332741,"frozenset({'Actiwatch', 'CBPD'})",2,5
660,0.000444247001332741,"frozenset({'PCBA', 'RC'})",2,5
669,0.000444247001332741,"frozenset({'PFS', 'Ultrasound'})",2,5
539,0.00035539760106619283,"frozenset({'Holter', 'Portable Pulmonary Function System'})",2,4
419,0.00035539760106619283,"frozenset({'EPM', 'PCBA'})",2,4
422,0.0002665482007996446,"frozenset({'EPM', 'RC'})",2,3
675,0.0002665482007996446,"frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",2,3
677,0.0002665482007996446,"frozenset({'SLAMMD', 'RC'})",2,3
213,0.0002665482007996446,"frozenset({'ARED', 'iRED'})",2,3
215,0.00017769880053309641,"frozenset({'CEVIS', 'Actiwatch'})",2,2
247,0.00017769880053309641,"frozenset({'Bio-Monitor', 'CEVIS'})",2,2
421,0.00017769880053309641,"frozenset({'Portable Pulmonary Function System', 'EPM'})",2,2
194,0.00017769880053309641,"frozenset({'ARED', 'EPM'})",2,2
207,0.00017769880053309641,"frozenset({'PFS', 'ARED'})",2,2
206,0.00017769880053309641,"frozenset({'ARED', 'PCBA'})",2,2
171,0.00017769880053309641,"frozenset({'ALTEA', 'ARED'})",2,2
173,0.00017769880053309641,"frozenset({'ALTEA', 'CEVIS'})",2,2
543,0.00017769880053309641,"frozenset({'Holter', 'TVIS'})",2,2
189,0.00017769880053309641,"frozenset({'ARED', 'Actiwatch'})",2,2
200,0.00017769880053309641,"frozenset({'Holter', 'ARED'})",2,2
582,0.00017769880053309641,"frozenset({'MARES', 'SLAMMD'})",2,2
310,0.00017769880053309641,"frozenset({'CEVIS', 'TEPC'})",2,2
309,0.00017769880053309641,"frozenset({'CEVIS', 'SLAMMD'})",2,2
674,8.884940026654821e-05,"frozenset({'Portable Pulmonary Function System', 'TVIS'})",2,1
673,8.884940026654821e-05,"frozenset({'Portable Pulmonary Function System', 'RC'})",2,1
668,8.884940026654821e-05,"frozenset({'PFS', 'TVIS'})",2,1
682,8.884940026654821e-05,"frozenset({'SLAMMD', 'TVIS'})",2,1
683,8.884940026654821e-05,"frozenset({'Ultrasound', 'SLAMMD'})",2,1
663,8.884940026654821e-05,"frozenset({'Ultrasound', 'PCBA'})",2,1
662,8.884940026654821e-05,"frozenset({'PCBA', 'TEPC'})",2,1
659,8.884940026654821e-05,"frozenset({'RAM', 'PCBA'})",2,1
583,8.884940026654821e-05,"frozenset({'MARES', 'Ultrasound'})",2,1
