,support,itemsets,length,frequency
594,0.005686361617059085,"frozenset({'MELFI', 'Mass Measurement Device'})",2,64
505,0.004087072412261217,"frozenset({'GLACIER', 'MELFI'})",2,46
265,0.002576632607729898,"frozenset({'Saibo', 'CB'})",2,29
430,0.0023100844069302534,"frozenset({'GLACIER', 'EXPRESS Rack'})",2,26
438,0.0015104398045313193,"frozenset({'MELFI', 'EXPRESS Rack'})",2,17
550,0.0013327410039982231,"frozenset({'IPU', 'Ryutai'})",2,15
440,0.0010661928031985785,"frozenset({'MSG', 'EXPRESS Rack'})",2,12
572,0.0009773434029320303,"frozenset({'MELFI', 'LMM'})",2,11
589,0.000888494002665482,"frozenset({'MSG', 'MELFI'})",2,10
593,0.000888494002665482,"frozenset({'MELFI', 'MWA'})",2,10
523,0.0007996446023989338,"frozenset({'HRF-1', 'Mass Measurement Device'})",2,9
548,0.0007107952021323857,"frozenset({'IPU', 'MWA'})",2,8
599,0.0007107952021323857,"frozenset({'Polar', 'MELFI'})",2,8
605,0.0007107952021323857,"frozenset({'Saibo', 'MELFI'})",2,8
689,0.0006219458018658375,"frozenset({'TangoLab-1', 'TangoLab-2'})",2,7
451,0.0006219458018658375,"frozenset({'Polar', 'EXPRESS Rack'})",2,7
590,0.0005330964015992892,"frozenset({'MSPR', 'MELFI'})",2,6
647,0.0005330964015992892,"frozenset({'Ryutai', 'MWA'})",2,6
570,0.000444247001332741,"frozenset({'MELFI', 'Kubik'})",2,5
510,0.00035539760106619283,"frozenset({'GLACIER', 'Polar'})",2,4
460,0.00035539760106619283,"frozenset({'TangoLab-1', 'EXPRESS Rack'})",2,4
375,0.00035539760106619283,"frozenset({'ETC', 'EDR'})",2,4
369,0.00035539760106619283,"frozenset({'MELFI', 'Double Coldbag'})",2,4
379,0.00035539760106619283,"frozenset({'Kubik', 'EDR'})",2,4
263,0.00035539760106619283,"frozenset({'MELFI', 'CB'})",2,4
516,0.00035539760106619283,"frozenset({'MSPR', 'GN2'})",2,4
433,0.00035539760106619283,"frozenset({'Iceberg', 'EXPRESS Rack'})",2,4
521,0.0002665482007996446,"frozenset({'HRF-2', 'HRF-1'})",2,3
552,0.0002665482007996446,"frozenset({'Saibo', 'IPU'})",2,3
557,0.0002665482007996446,"frozenset({'Iceberg', 'Polar'})",2,3
455,0.0002665482007996446,"frozenset({'SAMS-II', 'EXPRESS Rack'})",2,3
547,0.0002665482007996446,"frozenset({'MSPR', 'IPU'})",2,3
546,0.0002665482007996446,"frozenset({'MSG', 'IPU'})",2,3
431,0.0002665482007996446,"frozenset({'EXPRESS Rack', 'GN2'})",2,3
592,0.0002665482007996446,"frozenset({'MELFI', 'MVP'})",2,3
574,0.0002665482007996446,"frozenset({'LMM', 'MWA'})",2,3
576,0.0002665482007996446,"frozenset({'LSG', 'MSG'})",2,3
368,0.0002665482007996446,"frozenset({'GLACIER', 'Double Coldbag'})",2,3
630,0.0002665482007996446,"frozenset({'MSG', 'SAMS-II'})",2,3
249,0.00017769880053309641,"frozenset({'BioLab', 'MELFI'})",2,2
448,0.00017769880053309641,"frozenset({'NanoRacks Plate Reader', 'EXPRESS Rack'})",2,2
461,0.00017769880053309641,"frozenset({'TangoLab-2', 'EXPRESS Rack'})",2,2
