,support,itemsets,length,frequency
634,0.0015992892047978675,"frozenset({'MSL', 'MSRR-1'})",2,18
349,0.0013327410039982231,"frozenset({'SoFIE', 'CIR'})",2,15
340,0.0007107952021323857,"frozenset({'FIR', 'CIR'})",2,8
341,0.00017769880053309641,"frozenset({'FPEF', 'CIR'})",2,2
466,8.884940026654821e-05,"frozenset({'FIR', 'FSL'})",2,1
465,8.884940026654821e-05,"frozenset({'FPEF', 'FIR'})",2,1
478,8.884940026654821e-05,"frozenset({'FPEF', 'FSL'})",2,1
365,8.884940026654821e-05,"frozenset({'MSL', 'DECLIC'})",2,1
337,8.884940026654821e-05,"frozenset({'Cold Atom Lab', 'CIR'})",2,1
398,8.884940026654821e-05,"frozenset({'ELF', 'EML'})",2,1
