,support,itemsets,length,frequency
275,0.004886717014660151,"frozenset({'MELFI', 'CBEF'})",2,55
479,0.0037316748111950243,"frozenset({'FPEF', 'IPU'})",2,42
282,0.003109729009329187,"frozenset({'Saibo', 'CBEF'})",2,35
265,0.002576632607729898,"frozenset({'Saibo', 'CB'})",2,29
483,0.001776988005330964,"frozenset({'FPEF', 'Ryutai'})",2,20
401,0.0015992892047978675,"frozenset({'MSPR', 'ELF'})",2,18
484,0.0014215904042647713,"frozenset({'FPEF', 'SCOF'})",2,16
550,0.0013327410039982231,"frozenset({'IPU', 'Ryutai'})",2,15
273,0.001243891603731675,"frozenset({'IPU', 'CBEF'})",2,14
551,0.0011550422034651267,"frozenset({'IPU', 'SCOF'})",2,13
278,0.0010661928031985785,"frozenset({'CBEF', 'MSPR'})",2,12
679,0.0010661928031985785,"frozenset({'Ryutai', 'SCOF'})",2,12
233,0.0010661928031985785,"frozenset({'Aquatic Habitat', 'MSPR'})",2,12
664,0.0009773434029320303,"frozenset({'Ryutai', 'PCRF'})",2,11
605,0.0007107952021323857,"frozenset({'MELFI', 'Saibo'})",2,8
590,0.0005330964015992892,"frozenset({'MELFI', 'MSPR'})",2,6
168,0.0005330964015992892,"frozenset({'CellCult', 'ADSEP'})",2,6
279,0.000444247001332741,"frozenset({'PCRF', 'CBEF'})",2,5
665,0.000444247001332741,"frozenset({'PCRF', 'SCOF'})",2,5
549,0.000444247001332741,"frozenset({'IPU', 'PCRF'})",2,5
482,0.000444247001332741,"frozenset({'FPEF', 'PCRF'})",2,5
353,0.000444247001332741,"frozenset({'MELFI', 'CellCult'})",2,5
157,0.00035539760106619283,"frozenset({'MELFI', 'ABRS'})",2,4
263,0.00035539760106619283,"frozenset({'MELFI', 'CB'})",2,4
230,0.00035539760106619283,"frozenset({'Aquatic Habitat', 'CBEF'})",2,4
552,0.0002665482007996446,"frozenset({'IPU', 'Saibo'})",2,3
547,0.0002665482007996446,"frozenset({'IPU', 'MSPR'})",2,3
560,0.00017769880053309641,"frozenset({'NanoRacks External Platform', 'JEM-EF'})",2,2
232,0.00017769880053309641,"frozenset({'MELFI', 'Aquatic Habitat'})",2,2
169,0.00017769880053309641,"frozenset({'MELFI', 'ADSEP'})",2,2
680,0.00017769880053309641,"frozenset({'Saibo', 'Ryutai'})",2,2
487,0.00017769880053309641,"frozenset({'MELFI', 'FROST'})",2,2
640,0.00017769880053309641,"frozenset({'Ryutai', 'MSPR'})",2,2
268,0.00017769880053309641,"frozenset({'Confocal Microscope', 'CBEF'})",2,2
598,8.884940026654821e-05,"frozenset({'MELFI', 'Plant Habitat'})",2,1
642,8.884940026654821e-05,"frozenset({'TELLAS', 'MSPR'})",2,1
558,8.884940026654821e-05,"frozenset({'NanoRacks CubeSat Deployer', 'J-SSOD'})",2,1
657,8.884940026654821e-05,"frozenset({'NanoRacks CubeSat Deployer', 'NanoRacks-extCygnus-NRCSD'})",2,1
270,8.884940026654821e-05,"frozenset({'CBEF', 'FROST'})",2,1
262,8.884940026654821e-05,"frozenset({'IPU', 'CB'})",2,1
289,8.884940026654821e-05,"frozenset({'CCE', 'MSPR'})",2,1
285,8.884940026654821e-05,"frozenset({'CBEF-L', 'Saibo'})",2,1
284,8.884940026654821e-05,"frozenset({'Confocal Microscope', 'CBEF-L'})",2,1
231,8.884940026654821e-05,"frozenset({'IPU', 'Aquatic Habitat'})",2,1
480,8.884940026654821e-05,"frozenset({'FPEF', 'MSPR'})",2,1
486,8.884940026654821e-05,"frozenset({'HSRC', 'FROST'})",2,1
502,8.884940026654821e-05,"frozenset({'GHF', 'KOBAIRO Rack'})",2,1
489,8.884940026654821e-05,"frozenset({'MSPR', 'FROST'})",2,1
359,8.884940026654821e-05,"frozenset({'Cyclops', 'NanoRacks External Platform'})",2,1
356,8.884940026654821e-05,"frozenset({'Confocal Microscope', 'MSPR'})",2,1
400,8.884940026654821e-05,"frozenset({'HSRC', 'ELF'})",2,1
