,support,itemsets,length,frequency
219,0.026299422478898268,"frozenset({'Actiwatch', 'HRF-1'})",2,296
221,0.009684584629053753,"frozenset({'Actiwatch', 'Holter'})",2,108
217,0.00346512661039538,"frozenset({'Actiwatch', 'EPM'})",2,39
228,0.002221235006663705,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
220,0.0002665482007996446,"frozenset({'Actiwatch', 'HRF-2'})",2,3
215,0.00017769880053309641,"frozenset({'Actiwatch', 'CEVIS'})",2,2
222,0.00017769880053309641,"frozenset({'Actiwatch', 'MELFI'})",2,2
189,0.00017769880053309641,"frozenset({'Actiwatch', 'ARED'})",2,2
229,8.884940026654821e-05,"frozenset({'Actiwatch', 'WORF'})",2,1
227,8.884940026654821e-05,"frozenset({'Actiwatch', 'TVIS'})",2,1
225,8.884940026654821e-05,"frozenset({'Actiwatch', 'Portable Pulmonary Function System'})",2,1
224,8.884940026654821e-05,"frozenset({'Actiwatch', 'PFS'})",2,1
223,8.884940026654821e-05,"frozenset({'Actiwatch', 'MSG'})",2,1
218,8.884940026654821e-05,"frozenset({'Actiwatch', 'EXPRESS Rack'})",2,1
216,8.884940026654821e-05,"frozenset({'Actiwatch', 'CIR'})",2,1
