,support,itemsets,length,frequency
404,0.0007996446023989338,"frozenset({'EMCS', 'EXPRESS Rack'})",2,9
437,0.0006219458018658375,"frozenset({'MDS', 'EXPRESS Rack'})",2,7
586,0.000444247001332741,"frozenset({'PGB', 'MDS'})",2,5
419,0.00035539760106619283,"frozenset({'EPM', 'PCBA'})",2,4
463,0.0002665482007996446,"frozenset({'Veggie', 'EXPRESS Rack'})",2,3
429,0.00017769880053309641,"frozenset({'FSL', 'EXPRESS Rack'})",2,2
421,0.00017769880053309641,"frozenset({'EPM', 'Portable Pulmonary Function System'})",2,2
569,0.00017769880053309641,"frozenset({'KFT', 'Veggie'})",2,2
685,8.884940026654821e-05,"frozenset({'TEPC', 'Solar'})",2,1
579,8.884940026654821e-05,"frozenset({'MERLIN', 'MARES'})",2,1
568,8.884940026654821e-05,"frozenset({'KFT', 'Solar'})",2,1
571,8.884940026654821e-05,"frozenset({'TEPC', 'Kubik'})",2,1
237,8.884940026654821e-05,"frozenset({'BFF', 'MERLIN'})",2,1
436,8.884940026654821e-05,"frozenset({'MARES', 'EXPRESS Rack'})",2,1
515,8.884940026654821e-05,"frozenset({'GLACIER', 'Veggie'})",2,1
504,8.884940026654821e-05,"frozenset({'GLACIER', 'MDS'})",2,1
491,8.884940026654821e-05,"frozenset({'FSL', 'MERLIN'})",2,1
378,8.884940026654821e-05,"frozenset({'GLACIER', 'EDR'})",2,1
376,8.884940026654821e-05,"frozenset({'EDR', 'EXPRESS Rack'})",2,1
380,8.884940026654821e-05,"frozenset({'EDR', 'MERLIN'})",2,1
434,8.884940026654821e-05,"frozenset({'LIDAL', 'EXPRESS Rack'})",2,1
405,8.884940026654821e-05,"frozenset({'GLACIER', 'EMCS'})",2,1
383,8.884940026654821e-05,"frozenset({'TEPC', 'EDR'})",2,1
