,support,itemsets,length,frequency
609,0.0013327410039982231,"frozenset({'Veggie', 'MELFI'})",2,15
407,0.001243891603731675,"frozenset({'EMCS', 'MELFI'})",2,14
585,0.0005330964015992892,"frozenset({'MDS', 'MELFI'})",2,6
587,0.0005330964015992892,"frozenset({'Saibo', 'MDS'})",2,6
164,0.0005330964015992892,"frozenset({'Veggie', 'ABRS'})",2,6
570,0.000444247001332741,"frozenset({'Kubik', 'MELFI'})",2,5
166,0.00035539760106619283,"frozenset({'ADSEP', 'BFF'})",2,4
418,0.0002665482007996446,"frozenset({'MELFI', 'EPM'})",2,3
249,0.00017769880053309641,"frozenset({'BioLab', 'MELFI'})",2,2
363,0.00017769880053309641,"frozenset({'DECLIC', 'MDS'})",2,2
382,0.00017769880053309641,"frozenset({'EDR', 'Plant Habitat'})",2,2
606,8.884940026654821e-05,"frozenset({'Solar', 'MELFI'})",2,1
236,8.884940026654821e-05,"frozenset({'ELF', 'BFF'})",2,1
156,8.884940026654821e-05,"frozenset({'ABRS', 'MDS'})",2,1
478,8.884940026654821e-05,"frozenset({'FPEF', 'FSL'})",2,1
398,8.884940026654821e-05,"frozenset({'EML', 'ELF'})",2,1
