,support,itemsets,length,frequency
346,0.0020435362061306086,"frozenset({'CIR', 'MWA'})",2,23
481,0.0018658374055975121,"frozenset({'MWA', 'FPEF'})",2,21
408,0.0010661928031985785,"frozenset({'MWA', 'EMCS'})",2,12
593,0.000888494002665482,"frozenset({'MWA', 'MELFI'})",2,10
548,0.0007107952021323857,"frozenset({'MWA', 'IPU'})",2,8
160,0.0005330964015992892,"frozenset({'MWA', 'ABRS'})",2,6
647,0.0005330964015992892,"frozenset({'MWA', 'Ryutai'})",2,6
650,0.000444247001332741,"frozenset({'Veggie', 'MWA'})",2,5
574,0.0002665482007996446,"frozenset({'MWA', 'LMM'})",2,3
648,0.00017769880053309641,"frozenset({'SPHERES', 'MWA'})",2,2
508,0.00017769880053309641,"frozenset({'GLACIER', 'MWA'})",2,2
528,8.884940026654821e-05,"frozenset({'MWA', 'HRF-2'})",2,1
639,8.884940026654821e-05,"frozenset({'MSPR', 'MWA'})",2,1
649,8.884940026654821e-05,"frozenset({'Solar', 'MWA'})",2,1
567,8.884940026654821e-05,"frozenset({'MWA', 'KFT'})",2,1
646,8.884940026654821e-05,"frozenset({'MWA', 'PFS'})",2,1
621,8.884940026654821e-05,"frozenset({'MWA', 'MSG'})",2,1
303,8.884940026654821e-05,"frozenset({'MWA', 'CEVIS'})",2,1
234,8.884940026654821e-05,"frozenset({'MWA', 'Aquatic Habitat'})",2,1
205,8.884940026654821e-05,"frozenset({'ARED', 'MWA'})",2,1
472,8.884940026654821e-05,"frozenset({'FIR', 'MWA'})",2,1
445,8.884940026654821e-05,"frozenset({'MWA', 'EXPRESS Rack'})",2,1
