,support,itemsets,length,frequency
191,0.0844069302532208,"frozenset({'ARED', 'CEVIS'})",2,950
311,0.07712127943136383,"frozenset({'TVIS', 'CEVIS'})",2,868
687,0.017681030653043092,"frozenset({'TVIS', 'Ultrasound'})",2,199
211,0.017414482452243446,"frozenset({'ARED', 'Ultrasound'})",2,195
212,0.00035539760106619283,"frozenset({'ARED', 'WORF'})",2,4
207,0.00017769880053309641,"frozenset({'ARED', 'PFS'})",2,2
688,0.00017769880053309641,"frozenset({'TVIS', 'WORF'})",2,2
543,0.00017769880053309641,"frozenset({'TVIS', 'Holter'})",2,2
192,0.00017769880053309641,"frozenset({'CGBA', 'ARED'})",2,2
193,0.00017769880053309641,"frozenset({'ARED', 'CIR'})",2,2
200,0.00017769880053309641,"frozenset({'Holter', 'ARED'})",2,2
204,0.00017769880053309641,"frozenset({'MSG', 'ARED'})",2,2
668,8.884940026654821e-05,"frozenset({'TVIS', 'PFS'})",2,1
682,8.884940026654821e-05,"frozenset({'TVIS', 'SLAMMD'})",2,1
654,8.884940026654821e-05,"frozenset({'TVIS', 'Mass Measurement Device'})",2,1
632,8.884940026654821e-05,"frozenset({'TVIS', 'MSG'})",2,1
638,8.884940026654821e-05,"frozenset({'TVIS', 'MSL'})",2,1
199,8.884940026654821e-05,"frozenset({'HRF-2', 'ARED'})",2,1
196,8.884940026654821e-05,"frozenset({'ARED', 'FIR'})",2,1
334,8.884940026654821e-05,"frozenset({'TVIS', 'CGBA'})",2,1
351,8.884940026654821e-05,"frozenset({'TVIS', 'CIR'})",2,1
