,support,itemsets,length,frequency
666,0.013238560639715681,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,149
307,0.009506885828520658,"frozenset({'Portable Pulmonary Function System', 'CEVIS'})",2,107
661,0.005508662816525988,"frozenset({'PCBA', 'SLAMMD'})",2,62
651,0.005508662816525988,"frozenset({'Mass Measurement Device', 'PCBA'})",2,62
318,0.0049755664149267,"frozenset({'CGBA', 'EXPRESS Rack'})",2,56
440,0.0010661928031985785,"frozenset({'MSG', 'EXPRESS Rack'})",2,12
339,0.0009773434029320303,"frozenset({'CIR', 'EXPRESS Rack'})",2,11
464,0.0005330964015992892,"frozenset({'WORF', 'EXPRESS Rack'})",2,6
616,0.0005330964015992892,"frozenset({'MERLIN', 'SABL'})",2,6
660,0.000444247001332741,"frozenset({'RC', 'PCBA'})",2,5
611,0.000444247001332741,"frozenset({'MSG', 'MERLIN'})",2,5
449,0.000444247001332741,"frozenset({'PFS', 'EXPRESS Rack'})",2,5
460,0.00035539760106619283,"frozenset({'TangoLab-1', 'EXPRESS Rack'})",2,4
294,0.00035539760106619283,"frozenset({'CEVIS', 'EXPRESS Rack'})",2,4
539,0.00035539760106619283,"frozenset({'Portable Pulmonary Function System', 'Holter'})",2,4
470,0.00035539760106619283,"frozenset({'FIR', 'MERLIN'})",2,4
324,0.00035539760106619283,"frozenset({'CGBA', 'MERLIN'})",2,4
251,0.00035539760106619283,"frozenset({'MSG', 'Bioculture System'})",2,4
512,0.0002665482007996446,"frozenset({'GLACIER', 'SABL'})",2,3
455,0.0002665482007996446,"frozenset({'SAMS-II', 'EXPRESS Rack'})",2,3
431,0.0002665482007996446,"frozenset({'GN2', 'EXPRESS Rack'})",2,3
573,0.0002665482007996446,"frozenset({'LMM', 'MERLIN'})",2,3
675,0.0002665482007996446,"frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",2,3
427,0.00017769880053309641,"frozenset({'FIR', 'EXPRESS Rack'})",2,2
454,0.00017769880053309641,"frozenset({'SABL', 'EXPRESS Rack'})",2,2
247,0.00017769880053309641,"frozenset({'Bio-Monitor', 'CEVIS'})",2,2
441,0.00017769880053309641,"frozenset({'MSL', 'EXPRESS Rack'})",2,2
461,0.00017769880053309641,"frozenset({'TangoLab-2', 'EXPRESS Rack'})",2,2
432,0.00017769880053309641,"frozenset({'Holter', 'EXPRESS Rack'})",2,2
507,0.00017769880053309641,"frozenset({'GLACIER', 'MSG'})",2,2
310,0.00017769880053309641,"frozenset({'TEPC', 'CEVIS'})",2,2
613,0.00017769880053309641,"frozenset({'PFS', 'MERLIN'})",2,2
403,0.00017769880053309641,"frozenset({'ELITE-S2', 'EXPRESS Rack'})",2,2
327,0.00017769880053309641,"frozenset({'CGBA', 'PCBA'})",2,2
330,0.00017769880053309641,"frozenset({'Portable Pulmonary Function System', 'CGBA'})",2,2
254,0.00017769880053309641,"frozenset({'Bone Densitometer', 'EXPRESS Rack'})",2,2
673,8.884940026654821e-05,"frozenset({'RC', 'Portable Pulmonary Function System'})",2,1
676,8.884940026654821e-05,"frozenset({'Portable Pulmonary Function System', 'WORF'})",2,1
618,8.884940026654821e-05,"frozenset({'MERLIN', 'STaARS-1 EF'})",2,1
645,8.884940026654821e-05,"frozenset({'PGB', 'MVP'})",2,1
564,8.884940026654821e-05,"frozenset({'KFT', 'LMM'})",2,1
637,8.884940026654821e-05,"frozenset({'TEPC', 'MSL'})",2,1
663,8.884940026654821e-05,"frozenset({'Ultrasound', 'PCBA'})",2,1
623,8.884940026654821e-05,"frozenset({'MSG', 'PCBA'})",2,1
627,8.884940026654821e-05,"frozenset({'Portable Pulmonary Function System', 'MSG'})",2,1
242,8.884940026654821e-05,"frozenset({'BSTC', 'EXPRESS Rack'})",2,1
239,8.884940026654821e-05,"frozenset({'BRIC', 'EXPRESS Rack'})",2,1
305,8.884940026654821e-05,"frozenset({'CEVIS', 'PCBA'})",2,1
297,8.884940026654821e-05,"frozenset({'GLACIER', 'CEVIS'})",2,1
333,8.884940026654821e-05,"frozenset({'TEPC', 'CGBA'})",2,1
475,8.884940026654821e-05,"frozenset({'TEPC', 'FIR'})",2,1
473,8.884940026654821e-05,"frozenset({'FIR', 'PCBA'})",2,1
462,8.884940026654821e-05,"frozenset({'Ultrasound', 'EXPRESS Rack'})",2,1
456,8.884940026654821e-05,"frozenset({'SLAMMD', 'EXPRESS Rack'})",2,1
447,8.884940026654821e-05,"frozenset({'Mobile SpaceLab', 'EXPRESS Rack'})",2,1
446,8.884940026654821e-05,"frozenset({'Mass Measurement Device', 'EXPRESS Rack'})",2,1
444,8.884940026654821e-05,"frozenset({'MVP', 'EXPRESS Rack'})",2,1
443,8.884940026654821e-05,"frozenset({'MSRR-1', 'EXPRESS Rack'})",2,1
514,8.884940026654821e-05,"frozenset({'GLACIER', 'TangoLab-2'})",2,1
509,8.884940026654821e-05,"frozenset({'GLACIER', 'PFS'})",2,1
503,8.884940026654821e-05,"frozenset({'GLACIER', 'LMM'})",2,1
435,8.884940026654821e-05,"frozenset({'MAMS', 'EXPRESS Rack'})",2,1
350,8.884940026654821e-05,"frozenset({'TEPC', 'CIR'})",2,1
344,8.884940026654821e-05,"frozenset({'CIR', 'MERLIN'})",2,1
