,support,itemsets,length,frequency
191,0.0844069302532208,"frozenset({'ARED', 'CEVIS'})",2,950
311,0.07712127943136383,"frozenset({'CEVIS', 'TVIS'})",2,868
687,0.017681030653043092,"frozenset({'Ultrasound', 'TVIS'})",2,199
211,0.017414482452243446,"frozenset({'ARED', 'Ultrasound'})",2,195
212,0.00035539760106619283,"frozenset({'ARED', 'WORF'})",2,4
207,0.00017769880053309641,"frozenset({'ARED', 'PFS'})",2,2
688,0.00017769880053309641,"frozenset({'WORF', 'TVIS'})",2,2
543,0.00017769880053309641,"frozenset({'Holter', 'TVIS'})",2,2
192,0.00017769880053309641,"frozenset({'ARED', 'CGBA'})",2,2
193,0.00017769880053309641,"frozenset({'ARED', 'CIR'})",2,2
200,0.00017769880053309641,"frozenset({'ARED', 'Holter'})",2,2
204,0.00017769880053309641,"frozenset({'ARED', 'MSG'})",2,2
668,8.884940026654821e-05,"frozenset({'PFS', 'TVIS'})",2,1
682,8.884940026654821e-05,"frozenset({'SLAMMD', 'TVIS'})",2,1
654,8.884940026654821e-05,"frozenset({'Mass Measurement Device', 'TVIS'})",2,1
632,8.884940026654821e-05,"frozenset({'MSG', 'TVIS'})",2,1
638,8.884940026654821e-05,"frozenset({'MSL', 'TVIS'})",2,1
199,8.884940026654821e-05,"frozenset({'ARED', 'HRF-2'})",2,1
196,8.884940026654821e-05,"frozenset({'FIR', 'ARED'})",2,1
334,8.884940026654821e-05,"frozenset({'CGBA', 'TVIS'})",2,1
351,8.884940026654821e-05,"frozenset({'CIR', 'TVIS'})",2,1
