,support,itemsets,length,frequency
312,0.014038205242114616,"frozenset({'Ultrasound', 'CEVIS'})",2,158
653,0.011461572634384718,"frozenset({'SLAMMD', 'Mass Measurement Device'})",2,129
306,0.009773434029320302,"frozenset({'PFS', 'CEVIS'})",2,110
468,0.009506885828520658,"frozenset({'FIR', 'LMM'})",2,107
544,0.00346512661039538,"frozenset({'Holter', 'Ultrasound'})",2,39
538,0.002221235006663705,"frozenset({'Holter', 'PFS'})",2,25
298,0.0020435362061306086,"frozenset({'Holter', 'CEVIS'})",2,23
634,0.0015992892047978675,"frozenset({'MSRR-1', 'MSL'})",2,18
325,0.0015104398045313193,"frozenset({'CGBA', 'MSG'})",2,17
243,0.0014215904042647713,"frozenset({'BXF', 'MSG'})",2,16
349,0.0013327410039982231,"frozenset({'CIR', 'SoFIE'})",2,15
529,0.0013327410039982231,"frozenset({'HRF-2', 'PFS'})",2,15
345,0.0009773434029320303,"frozenset({'MSG', 'CIR'})",2,11
527,0.0009773434029320303,"frozenset({'HRF-2', 'Holter'})",2,11
290,0.0009773434029320303,"frozenset({'CGBA', 'CEVIS'})",2,11
526,0.0009773434029320303,"frozenset({'HRF-1', 'Ultrasound'})",2,11
631,0.000888494002665482,"frozenset({'SUBSA', 'MSG'})",2,10
313,0.0007996446023989338,"frozenset({'WORF', 'CEVIS'})",2,9
540,0.0007996446023989338,"frozenset({'Holter', 'RC'})",2,9
525,0.0007996446023989338,"frozenset({'HRF-1', 'SLAMMD'})",2,9
523,0.0007996446023989338,"frozenset({'HRF-1', 'Mass Measurement Device'})",2,9
667,0.0007996446023989338,"frozenset({'PFS', 'RC'})",2,9
340,0.0007107952021323857,"frozenset({'CIR', 'FIR'})",2,8
689,0.0006219458018658375,"frozenset({'TangoLab-1', 'TangoLab-2'})",2,7
629,0.0006219458018658375,"frozenset({'MSG', 'SABL'})",2,7
537,0.0005330964015992892,"frozenset({'Holter', 'Mass Measurement Device'})",2,6
541,0.0005330964015992892,"frozenset({'Holter', 'SLAMMD'})",2,6
291,0.000444247001332741,"frozenset({'CIR', 'CEVIS'})",2,5
342,0.000444247001332741,"frozenset({'CIR', 'LMM'})",2,5
256,0.000444247001332741,"frozenset({'Bone Densitometer', 'MSG'})",2,5
554,0.000444247001332741,"frozenset({'WORF', 'ISERV'})",2,5
669,0.000444247001332741,"frozenset({'PFS', 'Ultrasound'})",2,5
301,0.00035539760106619283,"frozenset({'MSL', 'CEVIS'})",2,4
521,0.0002665482007996446,"frozenset({'HRF-1', 'HRF-2'})",2,3
471,0.0002665482007996446,"frozenset({'MSG', 'FIR'})",2,3
