Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Actiwatch/HRF-1,Human Research/Multipurpose,Crew health/Crew health,292,250,60,0,0,0,0,0,0,0,0,0,2,0,18,4
Actiwatch/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,100,58,60,74,0,0,0,0,0,0,0,0,2,0,0,0
CGBA/EXPRESS Rack,Biology and Biotechnology/Multipurpose,Biology/General science,96,28,86,101,0,0,4,0,0,0,0,0,0,0,0,0
MELFI/PCBA,Multipurpose/Human Research,Refrigeration/Crew health,70,30,36,22,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/RC,Multipurpose/Human Research,Refrigeration/Centrifuge,58,92,110,226,10,0,0,24,8,0,0,0,0,0,0,0
PCBA/SLAMMD,Human Research/Human Research,Crew health/General science,54,22,28,22,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/SLAMMD,Multipurpose/Human Research,Refrigeration/General science,52,22,28,22,0,0,0,0,0,0,0,0,0,0,0,0
EPM/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,42,40,48,70,0,0,0,0,0,0,0,0,0,0,0,0
Actiwatch/EPM,Human Research/Human Research,Crew health/Crew health,42,40,58,142,0,0,0,0,0,0,0,0,0,0,0,0
GLACIER/MELFI,Multipurpose/Multipurpose,Refrigeration/Refrigeration,36,24,10,6,0,0,2,0,16,10,6,4,0,0,0,0
CBEF/MELFI,Biology and Biotechnology/Multipurpose,Centrifuge/Refrigeration,30,34,12,10,0,26,16,10,6,6,0,0,0,0,0,0
PFS/Portable Pulmonary Function System,Human Research/Human Research,Crew health/Crew health,26,70,56,78,3,10,18,10,6,2,2,4,4,2,6,0
CBEF/Saibo,Biology and Biotechnology/Multipurpose,Centrifuge/Biology,26,6,0,0,1,6,4,10,2,6,20,10,8,14,4,0
CB/MELFI,Multipurpose/Multipurpose,Glovebox/Refrigeration,24,14,2,26,7,1,4,0,2,0,0,4,2,0,0,0
EXPRESS Rack/MELFI,Multipurpose/Multipurpose,General science/Refrigeration,20,8,10,2,0,0,4,0,0,0,2,0,0,0,0,0
Holter/PFS,Human Research/Human Research,Crew health/Crew health,20,12,8,8,0,0,0,0,0,0,0,0,0,0,0,0
KFT/MELFI,Biology and Biotechnology/Multipurpose,Glovebox/Refrigeration,20,20,10,10,0,0,0,0,4,2,0,0,0,0,0,0
ELC/EXPRESS Rack,Earth and Space Science/Multipurpose,External payloads/General science,18,20,16,16,10,0,0,4,0,0,0,0,0,6,0,2
GLACIER/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,18,10,6,4,7,0,2,0,2,0,4,2,4,0,0,0
MELFI/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,18,18,4,2,0,1,0,2,2,2,4,4,2,0,6,0
EPM/Holter,Human Research/Human Research,Crew health/Crew health,16,6,8,2,0,0,0,2,0,0,0,0,0,0,0,0
EXPRESS Rack/GLACIER,Multipurpose/Multipurpose,General science/Refrigeration,16,6,12,10,12,0,0,0,0,0,2,0,2,0,0,0
CIR/MSG,Physical Science/Multipurpose,Furnace/Glovebox,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/EXPRESS Rack,Physical Science/Multipurpose,Furnace/General science,16,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/MERLIN,Multipurpose/Biology and Biotechnology,General science/Refrigeration,16,8,30,0,7,0,0,2,2,0,2,0,0,0,2,0
CBPD/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/MDS,Multipurpose/Biology and Biotechnology,General science/Biology,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actiwatch/Holter,Human Research/Human Research,Crew health/Crew health,14,0,6,16,12,3,16,20,0,0,0,0,0,0,0,0
CB/CBEF,Multipurpose/Biology and Biotechnology,Glovebox/Centrifuge,12,6,0,0,0,12,0,0,0,0,12,8,6,14,4,0
MELFI/Saibo,Multipurpose/Multipurpose,Refrigeration/Biology,12,4,6,0,0,3,2,0,0,0,0,0,0,0,0,0
HRF-2/Holter,Multipurpose/Human Research,Crew health/Crew health,12,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Actiwatch/CBPD,Human Research/Human Research,Crew health/Crew health,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/MSG,Multipurpose/Multipurpose,General science/Glovebox,12,8,2,2,0,0,2,0,0,0,0,0,0,0,0,0
FPEF/IPU,Physical Science/Multipurpose,Fluids/Image processing,12,18,24,12,0,0,4,4,0,0,2,0,4,4,2,2
HRF-2/PFS,Multipurpose/Human Research,Crew health/Crew health,12,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0
MDS/MELFI,Biology and Biotechnology/Multipurpose,Biology/Refrigeration,10,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0
MDS/PGB,Biology and Biotechnology/Multipurpose,Biology/Glovebox,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBEF/KFT,Biology and Biotechnology/Biology and Biotechnology,Centrifuge/Glovebox,10,6,10,6,1,0,0,0,0,0,0,0,0,0,0,0
FPEF/MWA,Physical Science/Multipurpose,Fluids/Maintenance,10,14,10,6,3,0,0,0,0,0,0,0,0,0,0,0
DECLIC/EXPRESS Rack,Physical Science/Multipurpose,Fluids/General science,10,14,8,14,0,0,0,0,0,0,0,0,2,0,0,0
CBPD/EPM,Human Research/Human Research,Crew health/Crew health,10,0,0,2,0,0,0,0,0,0,0,2,0,4,0,2
CGBA/MSG,Biology and Biotechnology/Multipurpose,Biology/Glovebox,10,6,16,0,0,0,6,2,0,0,0,0,0,0,0,0
PFS/RC,Human Research/Human Research,Crew health/Centrifuge,10,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0
EPM/PFS,Human Research/Human Research,Crew health/Crew health,10,6,4,8,10,0,0,0,0,0,0,0,2,2,2,0
CB/Saibo,Multipurpose/Multipurpose,Glovebox/Biology,10,4,2,0,0,3,2,0,2,0,12,8,6,14,4,0
Holter/RC,Human Research/Human Research,Crew health/Centrifuge,8,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0
