Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Actiwatch/HRF-1,Human Research/Multipurpose,Crew health/Crew health,0.117741935,0.107020548,0.025531915,0,0,0,0,0,0,0,0,0,0.001517451,0,0.013867488,0.006557377
Actiwatch/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.040322581,0.024828767,0.025531915,0.026753435,0,0,0,0,0,0,0,0,0.001517451,0,0,0
CGBA/EXPRESS Rack,Biology and Biotechnology/Multipurpose,Biology/General science,0.038709677,0.011986301,0.036595745,0.036876356,0,0,0.004032258,0,0,0,0,0,0,0,0,0
MELFI/PCBA,Multipurpose/Human Research,Refrigeration/Crew health,0.028225806,0.012842466,0.015319149,0.007953724,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/RC,Multipurpose/Human Research,Refrigeration/Centrifuge,0.023387097,0.039383562,0.046808511,0.081706435,0.014409222,0,0,0.021126761,0.006441224,0,0,0,0,0,0,0
PCBA/SLAMMD,Human Research/Human Research,Crew health/General science,0.021774194,0.009417808,0.011914894,0.007953724,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/SLAMMD,Multipurpose/Human Research,Refrigeration/General science,0.020967742,0.009417808,0.011914894,0.007953724,0,0,0,0,0,0,0,0,0,0,0,0
EPM/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.016935484,0.017123288,0.020425532,0.025307303,0,0,0,0,0,0,0,0,0,0,0,0
Actiwatch/EPM,Human Research/Human Research,Crew health/Crew health,0.016935484,0.017123288,0.024680851,0.051337672,0,0,0,0,0,0,0,0,0,0,0,0
GLACIER/MELFI,Multipurpose/Multipurpose,Refrigeration/Refrigeration,0.014516129,0.010273973,0.004255319,0.002169197,0,0,0.002016129,0,0.012882448,0.008130081,0.005415162,0.004357298,0,0,0,0
CBEF/MELFI,Biology and Biotechnology/Multipurpose,Centrifuge/Refrigeration,0.012096774,0.014554795,0.005106383,0.003615329,0,0.027196653,0.016129032,0.008802817,0.004830918,0.004878049,0,0,0,0,0,0
PFS/Portable Pulmonary Function System,Human Research/Human Research,Crew health/Crew health,0.010483871,0.029965753,0.023829787,0.028199566,0.005763689,0.010460251,0.018145161,0.008802817,0.004830918,0.001626016,0.001805054,0.004357298,0.003034901,0.00154321,0.004622496,0
