Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Actiwatch/HRF-1,Human Research/Multipurpose,Crew health/Crew health,0.11774193548387096,0.10702054794520548,0.02553191489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015174506828528073,0.0,0.01386748844375963,0.006557377049180328
Actiwatch/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.04032258064516129,0.02482876712328767,0.02553191489361702,0.02675343456254519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015174506828528073,0.0,0.0,0.0
CGBA/EXPRESS Rack,Biology and Biotechnology/Multipurpose,Biology/General science,0.03870967741935484,0.011986301369863013,0.03659574468085106,0.0368763557483731,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/PCBA,Multipurpose/Human Research,Refrigeration/Crew health,0.028225806451612902,0.012842465753424657,0.015319148936170212,0.007953723788864787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/RC,Multipurpose/Human Research,Refrigeration/Centrifuge,0.02338709677419355,0.039383561643835614,0.04680851063829787,0.08170643528561099,0.01440922190201729,0.0,0.0,0.02112676056338028,0.00644122383252818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCBA/SLAMMD,Human Research/Human Research,Crew health/General science,0.021774193548387097,0.009417808219178082,0.011914893617021277,0.007953723788864787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/SLAMMD,Multipurpose/Human Research,Refrigeration/General science,0.020967741935483872,0.009417808219178082,0.011914893617021277,0.007953723788864787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.016935483870967744,0.017123287671232876,0.020425531914893616,0.025307302964569775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actiwatch/EPM,Human Research/Human Research,Crew health/Crew health,0.016935483870967744,0.017123287671232876,0.02468085106382979,0.05133767172812726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLACIER/MELFI,Multipurpose/Multipurpose,Refrigeration/Refrigeration,0.014516129032258065,0.010273972602739725,0.00425531914893617,0.0021691973969631237,0.0,0.0,0.0020161290322580645,0.0,0.01288244766505636,0.008130081300813009,0.005415162454873646,0.004357298474945534,0.0,0.0,0.0,0.0
CBEF/MELFI,Biology and Biotechnology/Multipurpose,Centrifuge/Refrigeration,0.012096774193548387,0.014554794520547944,0.005106382978723404,0.0036153289949385392,0.0,0.027196652719665274,0.016129032258064516,0.008802816901408451,0.004830917874396135,0.004878048780487805,0.0,0.0,0.0,0.0,0.0,0.0
PFS/Portable Pulmonary Function System,Human Research/Human Research,Crew health/Crew health,0.010483870967741936,0.029965753424657533,0.023829787234042554,0.028199566160520606,0.005763688760806916,0.010460251046025104,0.018145161290322582,0.008802816901408451,0.004830917874396135,0.0016260162601626016,0.0018050541516245488,0.004357298474945534,0.0030349013657056147,0.0015432098765432098,0.004622496147919877,0.0
CBEF/Saibo,Biology and Biotechnology/Multipurpose,Centrifuge/Biology,0.010483870967741936,0.0025684931506849314,0.0,0.0,0.002881844380403458,0.006276150627615063,0.004032258064516129,0.008802816901408451,0.001610305958132045,0.004878048780487805,0.018050541516245487,0.010893246187363835,0.006069802731411229,0.010802469135802469,0.0030816640986132513,0.0
CB/MELFI,Multipurpose/Multipurpose,Glovebox/Refrigeration,0.00967741935483871,0.0059931506849315065,0.000851063829787234,0.009399855386840203,0.011527377521613832,0.0020920502092050207,0.004032258064516129,0.0,0.001610305958132045,0.0,0.0,0.004357298474945534,0.0015174506828528073,0.0,0.0,0.0
EXPRESS Rack/MELFI,Multipurpose/Multipurpose,General science/Refrigeration,0.008064516129032258,0.003424657534246575,0.00425531914893617,0.0007230657989877079,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0018050541516245488,0.0,0.0,0.0,0.0,0.0
Holter/PFS,Human Research/Human Research,Crew health/Crew health,0.008064516129032258,0.005136986301369863,0.003404255319148936,0.0028922631959508315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KFT/MELFI,Biology and Biotechnology/Multipurpose,Glovebox/Refrigeration,0.008064516129032258,0.008561643835616438,0.00425531914893617,0.0036153289949385392,0.0,0.0,0.0,0.0,0.00322061191626409,0.0016260162601626016,0.0,0.0,0.0,0.0,0.0,0.0
ELC/EXPRESS Rack,Earth and Space Science/Multipurpose,External payloads/General science,0.007258064516129033,0.008561643835616438,0.006808510638297872,0.005784526391901663,0.01440922190201729,0.0,0.0,0.0035211267605633804,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.003278688524590164
GLACIER/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,0.007258064516129033,0.004280821917808219,0.002553191489361702,0.0014461315979754157,0.011527377521613832,0.0,0.0020161290322580645,0.0,0.001610305958132045,0.0,0.0036101083032490976,0.002178649237472767,0.0030349013657056147,0.0,0.0,0.0
MELFI/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,0.007258064516129033,0.007705479452054794,0.001702127659574468,0.0007230657989877079,0.0,0.0020920502092050207,0.0,0.0017605633802816902,0.001610305958132045,0.0016260162601626016,0.0036101083032490976,0.004357298474945534,0.0015174506828528073,0.0,0.004622496147919877,0.0
EPM/Holter,Human Research/Human Research,Crew health/Crew health,0.0064516129032258064,0.0025684931506849314,0.003404255319148936,0.0007230657989877079,0.0,0.0,0.0,0.0017605633802816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/GLACIER,Multipurpose/Multipurpose,General science/Refrigeration,0.0064516129032258064,0.0025684931506849314,0.005106382978723404,0.0036153289949385392,0.01729106628242075,0.0,0.0,0.0,0.0,0.0,0.0018050541516245488,0.0,0.0015174506828528073,0.0,0.0,0.0
CIR/MSG,Physical Science/Multipurpose,Furnace/Glovebox,0.0064516129032258064,0.0017123287671232876,0.000851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIR/EXPRESS Rack,Physical Science/Multipurpose,Furnace/General science,0.0064516129032258064,0.0017123287671232876,0.000851063829787234,0.0007230657989877079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MERLIN,Multipurpose/Biology and Biotechnology,General science/Refrigeration,0.0064516129032258064,0.003424657534246575,0.01276595744680851,0.0,0.011527377521613832,0.0,0.0,0.0017605633802816902,0.001610305958132045,0.0,0.0018050541516245488,0.0,0.0,0.0,0.0015408320493066256,0.0
CBPD/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MDS,Multipurpose/Biology and Biotechnology,General science/Biology,0.00564516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
