,support,itemsets,length,frequency
122,0.01710654936461388,"frozenset({'CBEF', 'CBEF-L'})",2,35
119,0.015640273704789834,"frozenset({'CB', 'CBEF'})",2,32
120,0.011241446725317693,"frozenset({'CB', 'CBEF-L'})",2,23
114,0.002932551319648094,"frozenset({'Actiwatch Spectrum', 'Actiwatch'})",2,6
135,0.0009775171065493646,"frozenset({'PCBA', 'ELF'})",2,2
132,0.0009775171065493646,"frozenset({'MELFI', 'ELF'})",2,2
123,0.0009775171065493646,"frozenset({'IPU', 'CBEF'})",2,2
129,0.0009775171065493646,"frozenset({'Ultrasound', 'COLBERT'})",2,2
147,0.0009775171065493646,"frozenset({'Ultrasound', 'Ultrasound 2'})",2,2
134,0.0004887585532746823,"frozenset({'ELF', 'MSPR'})",2,1
145,0.0004887585532746823,"frozenset({'PCBA', 'SLAMMD'})",2,1
144,0.0004887585532746823,"frozenset({'MSG', 'SAMS-II'})",2,1
143,0.0004887585532746823,"frozenset({'MELFI', 'RC'})",2,1
142,0.0004887585532746823,"frozenset({'MELFI', 'Polar'})",2,1
141,0.0004887585532746823,"frozenset({'MELFI', 'Plant Habitat'})",2,1
140,0.0004887585532746823,"frozenset({'MELFI', 'LMM'})",2,1
139,0.0004887585532746823,"frozenset({'IPU', 'IPU2'})",2,1
138,0.0004887585532746823,"frozenset({'Holter Monitor 2', 'Holter'})",2,1
137,0.0004887585532746823,"frozenset({'TangoLab-1', 'EXPRESS Rack'})",2,1
136,0.0004887585532746823,"frozenset({'ELF', 'Plant Habitat'})",2,1
118,0.0004887585532746823,"frozenset({'Actiwatch Spectrum', 'Spectrum'})",2,1
117,0.0004887585532746823,"frozenset({'Actiwatch', 'Spectrum'})",2,1
131,0.0004887585532746823,"frozenset({'GLACIER', 'ELF'})",2,1
130,0.0004887585532746823,"frozenset({'ELC', 'MISSE-FF'})",2,1
127,0.0004887585532746823,"frozenset({'SoFIE', 'CIR'})",2,1
124,0.0004887585532746823,"frozenset({'MELFI', 'CBEF'})",2,1
115,0.0004887585532746823,"frozenset({'HRF-1', 'Actiwatch'})",2,1
116,0.0004887585532746823,"frozenset({'Actiwatch', 'Holter'})",2,1
121,0.0004887585532746823,"frozenset({'CB', 'Saibo'})",2,1
133,0.0004887585532746823,"frozenset({'MERLIN', 'ELF'})",2,1
