,support,itemsets,length
55,0.30824639841033286,"frozenset({'TVIS', 'ARED'})",2
39,0.273224043715847,"frozenset({'CEVIS', 'ARED'})",2
66,0.234227521112767,"frozenset({'TVIS', 'CEVIS'})",2
50,0.22056631892697467,"frozenset({'ARED', 'MELFI'})",2
41,0.14729259811227025,"frozenset({'CIR', 'ARED'})",2
63,0.1358668653750621,"frozenset({'CEVIS', 'MELFI'})",2
92,0.12170889220069547,"frozenset({'TVIS', 'MELFI'})",2
56,0.11823149528067561,"frozenset({'Ultrasound', 'ARED'})",2
48,0.11798310978638847,"frozenset({'ARED', 'Holter'})",2
32,0.11202185792349727,"frozenset({'Actiwatch', 'ARED'})",2
51,0.10755091902632886,"frozenset({'MSG', 'ARED'})",2
44,0.10457029309488326,"frozenset({'ARED', 'EPM'})",2
87,0.10183805265772479,"frozenset({'TVIS', 'Holter'})",2
75,0.10084451068057626,"frozenset({'CIR', 'TVIS'})",2
37,0.09860904123199205,"frozenset({'TVIS', 'Actiwatch'})",2
82,0.09115747640337804,"frozenset({'TVIS', 'EPM'})",2
93,0.08892200695479384,"frozenset({'Ultrasound', 'MELFI'})",2
61,0.08618976651763537,"frozenset({'CEVIS', 'Holter'})",2
58,0.08544461003477397,"frozenset({'CIR', 'CEVIS'})",2
74,0.08271236959761549,"frozenset({'CIR', 'MELFI'})",2
33,0.08271236959761549,"frozenset({'CEVIS', 'Actiwatch'})",2
97,0.07973174366616989,"frozenset({'Ultrasound', 'TVIS'})",2
59,0.07799304520615996,"frozenset({'CEVIS', 'EPM'})",2
49,0.07724788872329856,"frozenset({'HRF-1', 'ARED'})",2
45,0.07675111773472429,"frozenset({'EXPRESS Rack', 'ARED'})",2
67,0.07501241927471436,"frozenset({'Ultrasound', 'CEVIS'})",2
35,0.07476403378042722,"frozenset({'HRF-1', 'Actiwatch'})",2
80,0.07302533532041729,"frozenset({'Holter', 'EPM'})",2
38,0.07228017883755589,"frozenset({'CBEF', 'ARED'})",2
89,0.07153502235469449,"frozenset({'MSG', 'MELFI'})",2
98,0.07103825136612021,"frozenset({'Ultrasound', 'Ultrasound 2'})",2
88,0.07004470938897168,"frozenset({'HRF-1', 'TVIS'})",2
54,0.06656731246895181,"frozenset({'Solar', 'ARED'})",2
86,0.06557377049180328,"frozenset({'Holter', 'MELFI'})",2
94,0.06507699950322901,"frozenset({'TVIS', 'MSG'})",2
42,0.06433184302036761,"frozenset({'ARED', 'EDR'})",2
57,0.06433184302036761,"frozenset({'CBEF', 'MELFI'})",2
72,0.062344759066070544,"frozenset({'CIR', 'EPM'})",2
64,0.06209637357178341,"frozenset({'CEVIS', 'MSG'})",2
34,0.05911574764033781,"frozenset({'Actiwatch', 'Holter'})",2
43,0.058618976651763535,"frozenset({'EMCS', 'ARED'})",2
46,0.058618976651763535,"frozenset({'FPEF', 'ARED'})",2
62,0.058618976651763535,"frozenset({'HRF-1', 'CEVIS'})",2
84,0.058370591157476406,"frozenset({'EXPRESS Rack', 'TVIS'})",2
60,0.05812220566318927,"frozenset({'EXPRESS Rack', 'CEVIS'})",2
40,0.0568802781917536,"frozenset({'CGBA', 'ARED'})",2
52,0.05663189269746647,"frozenset({'RC', 'ARED'})",2
53,0.05663189269746647,"frozenset({'SLAMMD', 'ARED'})",2
73,0.056383507203179334,"frozenset({'CIR', 'Holter'})",2
91,0.056383507203179334,"frozenset({'RC', 'MELFI'})",2
78,0.0561351217088922,"frozenset({'TVIS', 'EDR'})",2
83,0.0561351217088922,"frozenset({'EXPRESS Rack', 'MELFI'})",2
36,0.0546448087431694,"frozenset({'Actiwatch', 'MELFI'})",2
47,0.05365126676602087,"frozenset({'ARED', 'FSL'})",2
77,0.05340288127173373,"frozenset({'EPM', 'EDR'})",2
76,0.05340288127173373,"frozenset({'Ultrasound', 'CIR'})",2
95,0.053154495777446596,"frozenset({'TVIS', 'RC'})",2
81,0.053154495777446596,"frozenset({'EPM', 'MELFI'})",2
65,0.05290611028315946,"frozenset({'CEVIS', 'PFS'})",2
70,0.052409339294585196,"frozenset({'CIR', 'EDR'})",2
90,0.05141579731743666,"frozenset({'MWA', 'MELFI'})",2
79,0.05141579731743666,"frozenset({'EMCS', 'TVIS'})",2
71,0.05067064083457526,"frozenset({'EMCS', 'CIR'})",2
69,0.05042225534028813,"frozenset({'TVIS', 'CGBA'})",2
96,0.05042225534028813,"frozenset({'Solar', 'TVIS'})",2
85,0.050173869846000994,"frozenset({'TVIS', 'FPEF'})",2
68,0.050173869846000994,"frozenset({'EMCS', 'CGBA'})",2
