,support,itemsets,length,frequency
186,0.03430293197357747,"frozenset({'Actiwatch', 'HRF-1'})",2,296
534,0.027929076370378954,"frozenset({'RC', 'MELFI'})",2,241
596,0.017267354270483252,"frozenset({'PFS', 'Portable Pulmonary Function System'})",2,149
584,0.014949588596592884,"frozenset({'SLAMMD', 'Mass Measurement Device'})",2,129
352,0.013443040908564144,"frozenset({'Holter', 'EPM'})",2,116
188,0.012631822922702514,"frozenset({'Actiwatch', 'Holter'})",2,109
402,0.012400046355313478,"frozenset({'LMM', 'FIR'})",2,107
528,0.008343956426005331,"frozenset({'MELFI', 'PCBA'})",2,72
527,0.007416850156449183,"frozenset({'MELFI', 'Mass Measurement Device'})",2,64
591,0.007185073589060146,"frozenset({'SLAMMD', 'PCBA'})",2,62
537,0.007185073589060146,"frozenset({'SLAMMD', 'MELFI'})",2,62
582,0.007185073589060146,"frozenset({'PCBA', 'Mass Measurement Device'})",2,62
257,0.006489743886893035,"frozenset({'EXPRESS Rack', 'CGBA'})",2,56
239,0.006373855603198517,"frozenset({'CBEF', 'MELFI'})",2,55
439,0.005330861049947851,"frozenset({'MELFI', 'GLACIER'})",2,46
413,0.004867307915169776,"frozenset({'IPU', 'FPEF'})",2,42
477,0.004519643064086221,"frozenset({'Holter', 'Ultrasound'})",2,39
184,0.004519643064086221,"frozenset({'Actiwatch', 'EPM'})",2,39
246,0.004056089929308147,"frozenset({'CBEF', 'Saibo'})",2,35
374,0.0034766485108355546,"frozenset({'EXPRESS Rack', 'MERLIN'})",2,30
440,0.0034766485108355546,"frozenset({'MERLIN', 'GLACIER'})",2,30
230,0.003360760227141036,"frozenset({'CB', 'Saibo'})",2,29
193,0.003360760227141036,"frozenset({'Actiwatch', 'Spectrum'})",2,29
365,0.0030130953760574807,"frozenset({'EXPRESS Rack', 'GLACIER'})",2,26
194,0.002897207092362962,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
472,0.002897207092362962,"frozenset({'PFS', 'Holter'})",2,25
298,0.0027813188086684435,"frozenset({'EXPRESS Rack', 'DECLIC'})",2,24
521,0.0026654305249739253,"frozenset({'MERLIN', 'MELFI'})",2,23
284,0.0026654305249739253,"frozenset({'MWA', 'CIR'})",2,23
322,0.002433653957584888,"frozenset({'ELC', 'EXPRESS Rack'})",2,21
356,0.002433653957584888,"frozenset({'PFS', 'EPM'})",2,21
415,0.002433653957584888,"frozenset({'MWA', 'FPEF'})",2,21
417,0.0023177656738903696,"frozenset({'FPEF', 'Ryutai'})",2,20
566,0.002085989106501333,"frozenset({'MSL', 'MSRR-1'})",2,18
337,0.002085989106501333,"frozenset({'MSPR', 'ELF'})",2,18
476,0.002085989106501333,"frozenset({'Spectrum', 'Holter'})",2,18
264,0.0019701008228068142,"frozenset({'MSG', 'CGBA'})",2,17
373,0.0019701008228068142,"frozenset({'EXPRESS Rack', 'MELFI'})",2,17
209,0.0018542125391122957,"frozenset({'MSG', 'BXF'})",2,16
385,0.0018542125391122957,"frozenset({'EXPRESS Rack', 'Plant Habitat'})",2,16
418,0.0018542125391122957,"frozenset({'SCOF', 'FPEF'})",2,16
542,0.0017383242554177773,"frozenset({'Veggie', 'MELFI'})",2,15
