,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
2486,"frozenset({'Ultrasound 2', 'PFS', 'CEVIS'})",frozenset({'Ultrasound'}),0.00015074998115625234,0.04183311977086003,0.00015074998115625234,1.0,23.904504504504505,0.00014444363913908794,inf,0.9583113456464379
1432,"frozenset({'SLAMMD', 'EXPRESS Rack'})",frozenset({'CGBA'}),0.00022612497173437853,0.02087887239014095,0.00022612497173437853,1.0,47.895306859205775,0.00022140373730531222,inf,0.9793425814234017
2310,"frozenset({'Actiwatch Spectrum', 'Ultrasound'})","frozenset({'Holter Monitor 2', 'Ultrasound 2'})",0.0018843747644531545,0.0018843747644531545,0.0018843747644531545,1.0,530.68,0.0018808238962002466,inf,1.0
2067,"frozenset({'NanoRacks CubeSat Deployer', 'NanoRacks-extCygnus-NRCSD'})",frozenset({'RC'}),0.0003768749528906309,0.04537574432803196,0.0003768749528906309,1.0,22.038205980066447,0.00035977397138462657,inf,0.9549841652842709
2309,"frozenset({'Actiwatch Spectrum', 'Ultrasound 2'})","frozenset({'Holter Monitor 2', 'Ultrasound'})",0.0018843747644531545,0.0018843747644531545,0.0018843747644531545,1.0,530.68,0.0018808238962002466,inf,1.0
2515,"frozenset({'CIR', 'MSG', 'MELFI'})",frozenset({'FIR'}),0.00015074998115625234,0.016507122936609633,0.00015074998115625234,1.0,60.57990867579909,0.0001482615326846145,inf,0.9836411609498681
2711,"frozenset({'IPU', 'Ryutai', 'PCRF'})",frozenset({'FPEF'}),0.0003768749528906309,0.008215873973015753,0.0003768749528906309,1.0,121.71559633027523,0.0003737785957740952,inf,0.9921580455436585
2072,"frozenset({'SLAMMD', 'RC'})",frozenset({'PCBA'}),0.00022612497173437853,0.007989749001281375,0.00022612497173437853,1.0,125.16037735849056,0.000224318289967299,inf,0.9922346200241253
825,"frozenset({'ELC', 'ABRS'})",frozenset({'RC'}),0.00015074998115625234,0.04537574432803196,0.00015074998115625234,1.0,22.038205980066447,0.0001439095885538506,inf,0.9547681869581606
2514,"frozenset({'CIR', 'MSG', 'FIR'})",frozenset({'MELFI'}),0.00015074998115625234,0.10688173663978293,0.00015074998115625234,1.0,9.356135401974612,0.00013463756137185753,inf,0.8932529212212589
831,"frozenset({'MWA', 'GLACIER'})",frozenset({'ABRS'}),0.00015074998115625234,0.003768749528906309,0.00015074998115625234,1.0,265.34,0.00015018184223578707,inf,0.9963814549566528
832,"frozenset({'ABRS', 'GLACIER'})",frozenset({'MWA'}),0.00015074998115625234,0.016808622898922137,0.00015074998115625234,1.0,59.493273542600896,0.00014821608157097727,inf,0.9833396155295892
2078,"frozenset({'SCOF', 'PCRF'})",frozenset({'Ryutai'}),0.0003768749528906309,0.004371749453531319,0.0003768749528906309,1.0,228.7413793103448,0.00037522735002128166,inf,0.9960036193635953
2812,"frozenset({'Holter', 'RC'})","frozenset({'PFS', 'MELFI'})",0.0006783749152031356,0.000829124896359388,0.0006783749152031356,1.0,1206.090909090909,0.0006778124576718751,inf,0.999849147684417
2473,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2', 'CEVIS'})",frozenset({'PFS'}),0.00015074998115625234,0.01635637295545338,0.00015074998115625234,1.0,61.13824884792627,0.0001482842582414331,inf,0.9837919336600076
837,"frozenset({'Veggie', 'GLACIER'})",frozenset({'ABRS'}),0.00015074998115625234,0.003768749528906309,0.00015074998115625234,1.0,265.34,0.00015018184223578707,inf,0.9963814549566528
838,"frozenset({'ABRS', 'GLACIER'})",frozenset({'Veggie'}),0.00015074998115625234,0.01695937288007839,0.00015074998115625234,1.0,58.964444444444446,0.00014819335601415866,inf,0.9831888428194496
2811,"frozenset({'RC', 'PFS', 'MELFI'})",frozenset({'Holter'}),0.0006783749152031356,0.020652747418406572,0.0006783749152031356,1.0,48.41970802919708,0.0006643646094244623,inf,0.9800120681852466
2654,"frozenset({'EPM', 'Holter', 'RC'})",frozenset({'PFS'}),0.00022612497173437853,0.01635637295545338,0.00022612497173437853,1.0,61.13824884792627,0.00022242638736214967,inf,0.983866103739445
