Year,Plant,Biology,Environmental,3D printing,Chemistry,Refrigeration,Robotics,External payloads,Centrifuge,Microscope,Combustion,Glovebox,Furnace,Physics,Satellite deployer,Fluids,General science,Human research,Levitation,Stowage,Materials,Image processing,Earth observation,Communication,Incubator,Life support,Heating,Vibration isolation,Maintenance,Camera,Astronomy,inSPA,Crew health (without exercise)
2009,24,165,0,0,0,212,12,30,30,9,0,84,64,6,0,46,139,0,0,3,8,34,11,7,0,0,0,3,16,0,26,0,726
2010,23,97,0,0,0,207,12,13,45,18,1,106,85,1,0,77,118,0,0,2,7,24,18,13,1,0,0,2,34,0,22,21,611
2011,14,102,0,0,0,189,9,27,56,35,21,61,102,1,0,87,170,1,0,0,4,13,69,12,1,0,0,2,28,0,32,9,469
2012,9,181,0,0,0,202,18,10,111,9,2,83,81,3,0,32,174,7,0,0,0,16,39,5,0,0,0,0,38,0,11,9,848
2013,11,26,0,0,0,40,18,16,5,8,0,13,27,0,3,23,42,0,0,0,0,0,5,0,0,0,0,0,13,0,5,22,103
2014,22,101,0,0,0,56,24,6,0,16,0,25,57,0,19,32,43,4,8,0,0,1,11,3,1,0,0,0,22,0,6,11,85
2015,25,99,0,0,0,93,17,10,0,14,0,30,21,0,8,13,46,0,4,0,0,8,2,0,8,0,0,0,15,0,4,0,137
2016,19,86,0,12,0,97,13,28,13,6,1,44,46,1,26,15,55,0,2,0,0,6,14,0,19,0,0,0,10,0,11,0,160
2017,48,105,0,16,0,150,18,37,5,29,0,49,44,0,8,29,45,0,3,0,1,0,16,0,25,1,0,2,7,0,13,1,83
2018,91,82,0,26,0,101,14,34,15,24,0,43,42,18,18,15,54,0,2,0,9,0,14,1,25,11,0,0,3,0,8,3,41
2019,33,139,5,0,0,44,29,26,10,19,0,39,43,9,20,19,34,0,8,0,23,3,3,2,23,13,0,0,1,0,13,35,53
2020,35,93,2,8,0,37,29,19,12,19,0,32,53,10,23,19,36,0,6,3,7,0,1,0,14,3,0,0,1,0,5,33,34
2021,46,79,2,62,0,43,37,9,2,41,0,44,76,42,16,30,34,1,4,0,7,7,3,1,41,1,0,0,6,0,29,7,88
2022,55,83,12,12,0,34,34,16,6,20,19,64,54,31,25,10,69,0,9,0,1,4,6,0,33,13,0,0,6,0,40,40,79
2023,69,55,0,16,0,45,34,12,5,29,18,56,49,41,18,8,62,0,8,0,5,3,5,0,28,6,0,0,1,0,46,46,122
2024,14,41,0,2,0,21,17,10,0,11,18,40,38,9,7,6,35,0,5,0,0,1,3,0,14,2,0,0,1,0,13,57,42
