,0
ARED,0.2793286219081272
TVIS,0.2252650176678445
CEVIS,0.21042402826855125
MELFI,0.1971731448763251
COLBERT,0.17332155477031802
Actiwatch,0.10424028268551237
MSG,0.10353356890459364
CIR,0.10053003533568905
RC,0.09929328621908128
CB,0.09293286219081272
EXPRESS Rack,0.09204946996466432
Ultrasound,0.09134275618374559
HRF-1,0.062014134275618374
CBEF,0.060424028268551234
EPM,0.05035335689045936
Solar,0.05017667844522968
Rodent Research,0.04840989399293286
CGBA,0.04717314487632509
Holter,0.045759717314487636
Veggie,0.045759717314487636
FIR,0.03904593639575972
MWA,0.037809187279151946
PFS,0.03745583038869258
WORF,0.03480565371024735
MSPR,0.03409893992932862
Holter Monitor 2,0.03109540636042403
LMM,0.030565371024734982
ELC,0.0303886925795053
Astrobee,0.029858657243816256
SPHERES,0.028975265017667843
Portable Pulmonary Function System,0.02791519434628975
SABL,0.027208480565371024
MERLIN,0.02685512367491166
Plant Habitat,0.026148409893992933
MSL,0.02314487632508834
SLAMMD,0.02226148409893993
GLACIER,0.0215547703180212
ELF,0.021378091872791518
IPU,0.019787985865724382
Ultrasound 2,0.019434628975265017
FPEF,0.019081272084805655
EDR,0.018904593639575973
Bio-Monitor,0.01872791519434629
PCBA,0.017314487632508833
Actiwatch Spectrum,0.01625441696113074
FSL,0.01607773851590106
J-SSOD,0.015901060070671377
RAM,0.015901060070671377
Saibo,0.014134275618374558
AMF,0.013604240282685512
MARES,0.013604240282685512
EMCS,0.01342756183745583
ETC,0.013250883392226149
Polar,0.013074204946996466
ALTEA,0.013074204946996466
LSG,0.012897526501766784
Kubik,0.01254416961130742
Cold Atom Lab,0.012367491166077738
BFF,0.012190812720848057
NanoRacks CubeSat Deployer,0.011660777385159011
CBEF-L,0.011484098939929329
EML,0.0107773851590106
GHF,0.0107773851590106
Ryutai,0.01060070671378092
TEPC,0.009893992932862191
SoFIE,0.009540636042402828
MVP,0.00901060070671378
LSR,0.0088339222614841
SCOF,0.008657243816254417
ABRS,0.008657243816254417
SUBSA,0.008480565371024734
Aquatic Habitat,0.008303886925795053
MDS,0.00812720848056537
FROST,0.00812720848056537
UMS,0.007950530035335688
DECLIC,0.007597173144876325
HRF-2,0.007597173144876325
BioLab,0.007420494699646643
ARISS,0.007243816254416961
KFT,0.006890459363957597
ICE Cubes,0.006183745583038869
TangoLab-2,0.006183745583038869
PCRF,0.005830388692579506
Confocal Microscope,0.005653710247349823
MSRR-1,0.005653710247349823
Spectrum,0.005653710247349823
EXHAM,0.005653710247349823
BRIC,0.00530035335689046
NanoRacks External Platform,0.00530035335689046
MISSE-FF,0.00530035335689046
Double Coldbag,0.005123674911660777
ADSEP,0.0049469964664310955
Bone Densitometer,0.004770318021201414
TangoLab-1,0.004593639575971731
KERMIT,0.004593639575971731
SAMS-II,0.004240282685512367
SALI,0.0038869257950530037
Mochii,0.0037102473498233216
Acoustic Diagnostics,0.0037102473498233216
CBPD,0.0035335689045936395
JEM-EF,0.0033568904593639574
BXF,0.0033568904593639574
NanoRacks Platforms,0.0031802120141342758
iRED,0.0030035335689045936
GN2,0.0030035335689045936
LIDAL,0.00265017667844523
MUSES,0.00265017667844523
Nanoracks Airlock,0.0024734982332155478
MMD,0.0024734982332155478
SlingShot,0.0024734982332155478
NanoRacks Plate Reader,0.0024734982332155478
Iceberg,0.0024734982332155478
Cyclops,0.0024734982332155478
ELITE-S2,0.0022968197879858657
Bioculture System,0.0022968197879858657
EFU Adapter,0.0022968197879858657
Bartolomeo,0.0019434628975265019
TELLAS,0.0017667844522968198
CellCult,0.0017667844522968198
PFMI,0.0015901060070671379
Bio-Analyzer,0.0015901060070671379
Cryo Chiller,0.0014134275618374558
JAXA Mouse Habitat Unit,0.0014134275618374558
Hermes,0.0014134275618374558
ADSEP-2,0.0014134275618374558
MVIS,0.0014134275618374558
PGB,0.0012367491166077739
ISERV,0.0012367491166077739
HSRC,0.0010600706713780918
CCE,0.0010600706713780918
NanoRacks-extCygnus-NRCSD,0.0010600706713780918
Wet Lab RNA SmartCycler,0.0010600706713780918
MAMS,0.0010600706713780918
Glovebox Freezer,0.0008833922261484099
Wearable Monitoring,0.0008833922261484099
Fruit Fly Lab,0.0008833922261484099
IPU2,0.0007067137809187279
FRIDGE,0.0007067137809187279
