,0
ARED,0.3672471140676971
MELFI,0.36020348268440616
CEVIS,0.2535707297984739
TVIS,0.24965760125220113
Ultrasound,0.24144003130502836
Solar,0.2232439835648601
CIR,0.15985130111524162
MSG,0.1459596947759734
Holter,0.12619839561729604
EXPRESS Rack,0.12150264136176873
CBEF,0.1166112306789278
Actiwatch,0.10585012717667776
EPM,0.10017609078458227
MWA,0.09802387008413227
SPHERES,0.09645861866562316
PFS,0.08061044805321854
CGBA,0.07845822735276854
BioLab,0.07747994521620036
RC,0.0761103502250049
HRF-1,0.07337116024261398
GLACIER,0.07141459596947759
Mass Measurement Device,0.06730581099589121
MSPR,0.0667188417139503
LMM,0.06534924672275484
FPEF,0.0614361181764821
FSL,0.060262179612600275
SLAMMD,0.05967521033065936
EMCS,0.057327333202895715
EDR,0.0567403639209548
MSL,0.0567403639209548
FIR,0.054392486793191155
Ultrasound 2,0.05360986108393661
Veggie,0.049696732537663865
CB,0.04891410682840931
Kubik,0.04734885540990021
Saibo,0.046957542555272944
Spectrum,0.04656622970064567
PCRF,0.04597926041870475
SCOF,0.04284875758168656
WORF,0.041087849735863824
MERLIN,0.04010956759929564
Polar,0.037957346898845626
ELF,0.037957346898845626
SABL,0.036587751907650165
Ryutai,0.03580512619839562
Holter Monitor 2,0.03443553120720016
MARES,0.03130502837018196
Portable Pulmonary Function System,0.03071805908824105
IPU,0.027391899823909216
Astrobee,0.025435335550772844
DECLIC,0.024848366268831933
PCBA,0.022891801995695557
ELC,0.022500489141068284
LSG,0.022304832713754646
Plant Habitat,0.02073958129524555
BXF,0.02073958129524555
TEPC,0.01917432987673645
Double Coldbag,0.018783017022109175
GHF,0.018196047740168263
CBEF-L,0.017413422030913714
UMS,0.01721776560360008
RAM,0.014087262766581883
J-SSOD,0.01350029348464097
EML,0.013108980630013697
Manufacturing Device,0.011739385638818236
LSR,0.011739385638818236
GN2,0.011348072784190961
FROST,0.011152416356877323
Bio-Monitor,0.010761103502250048
ABRS,0.010761103502250048
EuTEF,0.010565447074936412
Bone Densitometer,0.010369790647622775
KOBAIRO Rack,0.0099784777929955
Aquatic Habitat,0.009391508511054587
SUBSA,0.00919585208374095
MVP,0.009000195656427314
HRF-2,0.008217569947172765
MVIS,0.00782625709254549
MAMS,0.00782625709254549
MSRR-1,0.007630600665231853
Iceberg,0.007434944237918215
TangoLab-2,0.007239287810604579
NanoRacks CubeSat Deployer,0.007043631383290941
ETC,0.006847974955977304
MISSE-FF,0.006847974955977304
EFU Adapter,0.006652318528663667
Actiwatch Spectrum,0.006261005674036392
BFF,0.0060653492467227545
BRIC,0.005869692819409118
Confocal Microscope,0.005869692819409118
COLBERT,0.005674036392095481
TangoLab-1,0.005478379964781843
ARISS,0.005087067110154568
JEM-EF,0.004891410682840931
SCAN Testbed,0.004695754255527294
NanoRacks Platforms,0.004695754255527294
SoFIE,0.004500097828213657
KERMIT,0.004500097828213657
Mochii,0.004500097828213657
Cyclops,0.00430444140090002
CBPD,0.004108784973586382
SAMS-II,0.003913128546272745
ADSEP,0.003913128546272745
KFT,0.003913128546272745
Cryo Chiller,0.0037174721189591076
EXHAM Facility,0.0037174721189591076
ICE Cubes Facility,0.0035218156916454707
Bioculture System Facility,0.002934846409704559
ISERV,0.002934846409704559
MUSES,0.002934846409704559
SlingShot,0.002934846409704559
Nanoracks Airlock,0.0027391899823909216
iRED,0.0027391899823909216
NanoRacks External Platform,0.0027391899823909216
NanoRacks Plate Reader,0.002543533555077284
CellCult,0.002347877127763647
ABS,0.002347877127763647
Cold Atom Lab,0.0019565642731363725
CCE,0.0019565642731363725
IPU2,0.0019565642731363725
Bartolomeo,0.0019565642731363725
Bio-Analyzer,0.0017609078458227353
Glovebox Freezer,0.001565251418509098
HSRC,0.001565251418509098
TELLAS,0.001565251418509098
PGB,0.0013695949911954608
Rodent Research Facility,0.0011739385638818234
SALI,0.0011739385638818234
Wet Lab RNA SmartCycler,0.0011739385638818234
MSPR-2,0.000782625709254549
Biotube,0.000782625709254549
MDS Facility,0.000782625709254549
Fruit Fly Lab,0.000782625709254549
ARCTIC,0.0005869692819409117
SPySE,0.0005869692819409117
NanoRacks Microscopes,0.0005869692819409117
MIS Fiber,0.0005869692819409117
Hermes Facility,0.0003913128546272745
LIDAL Facility,0.0003913128546272745
Mobile SpaceLab,0.0003913128546272745
PFMI Facility,0.0003913128546272745
NanoRacks Microsat Deployer,0.00019565642731363725
GASMAP,0.00019565642731363725
JAXA Mouse Habitat Unit,0.00019565642731363725
STaARS-1 EF,0.00019565642731363725
ADSEP-2,0.00019565642731363725
AEM,0.00019565642731363725
ALTEA Facility,0.00019565642731363725
Faraday Research Facility,0.00019565642731363725
Galley Refrigerator-Freezer,0.00019565642731363725
Programmable Isolation Mount,0.00019565642731363725
BSTC,0.00019565642731363725
NanoRacks-extCygnus-NRCSD,0.00019565642731363725
Carbon Dioxide Meter,0.0
HPA Facility,0.0
BioServe Centrifuge,0.0
GCF,0.0
Columbus-EPF,0.0
ELITE-S2 Facility,0.0
BioServe Microscope,0.0
EFU Adapter2,0.0
EDR-2,0.0
ADF,0.0
CRIM-M,0.0
DDVS,0.0
Acoustic Diagnostics Facility,0.0
Wearable Monitoring Facility,0.0
Wet Lab Kit,0.0
Nanoracks Nanode,0.0
NanoRacks-GoPro Fusion,0.0
SPACE DREAMS Facility,0.0
MicroPREP,0.0
MQ-Warmchain,0.0
HGD-PFD,0.0
Bioimpedance Analyzer,0.0
BioChip SpaceLab,0.0
BIOKON,0.0
Astro Garden,0.0
BTR,0.0
PERSEO Facility,0.0
GAP-FPA,0.0
NanoRacks Astrium Centrifuge,0.0
MOBIAS,0.0
APCF,0.0
PCG-STES,0.0
In Situ Chemiluminescent Reader,0.0
Mini Coldbag,0.0
FPC,0.0
