,0
ARED,0.0838591829956825
TVIS,0.0705745599468615
CEVIS,0.06415365880659803
MELFI,0.06000221410384147
COLBERT,0.0543008967120558
Actiwatch,0.031606332336986606
RC,0.030111812243994243
MSG,0.0295582862836267
CIR,0.02928152330344293
Ultrasound,0.02778700321045057
EXPRESS Rack,0.027676298018377062
CB,0.02723347725008303
CBEF,0.018487767076275877
HRF-1,0.018266356692128862
EPM,0.015443374294254401
Rodent Research,0.01516661131407063
CGBA,0.014723790545776596
Holter,0.014280969777482564
Solar,0.012565039300343186
Veggie,0.01223292372412266
FIR,0.01195616074393889
MWA,0.011734750359791874
PFS,0.011568692571681612
WORF,0.010516993246983283
Holter Monitor 2,0.009742056902468725
LMM,0.009575999114358464
MSPR,0.009299236134174693
ELC,0.009077825750027677
SPHERES,0.009077825750027677
Portable Pulmonary Function System,0.00857965238569689
MERLIN,0.007804716041182332
SABL,0.007472600464961806
SLAMMD,0.0069190745045942656
GLACIER,0.006697664120447249
Astrobee,0.006642311524410495
IPU,0.006088785564042954
MSL,0.0060334329680061995
Plant Habitat,0.005978080371969445
FPEF,0.005867375179895937
ELF,0.005645964795748921
PCBA,0.005424554411601904
Ultrasound 2,0.005313849219528396
EDR,0.005258496623491642
Actiwatch Spectrum,0.005092438835381379
FSL,0.004704970663124101
RAM,0.004483560278977084
Saibo,0.004317502490866822
MARES,0.0042621498948300675
J-SSOD,0.004206797298793313
EMCS,0.004206797298793313
ETC,0.004096092106719805
ALTEA,0.004040739510683051
AMF,0.0037639765304992804
Polar,0.0037639765304992804
CBEF-L,0.0032104505701317392
Ryutai,0.0032104505701317392
NanoRacks CubeSat Deployer,0.0032104505701317392
GHF,0.003155097974094985
TEPC,0.003099745378058231
Kubik,0.0029890401859847225
Bio-Monitor,0.0027676298018377062
LSG,0.002712277205800952
ABRS,0.002712277205800952
EML,0.002656924609764198
MVP,0.002656924609764198
Aquatic Habitat,0.002601572013727444
MDS,0.0025462194176906895
UMS,0.0024908668216539354
SCOF,0.0024908668216539354
FROST,0.0023801616295804273
LSR,0.002324809033543673
DECLIC,0.002324809033543673
BioLab,0.002269456437506919
ARISS,0.002269456437506919
KFT,0.002158751245433411
HRF-2,0.002158751245433411
Cold Atom Lab,0.002158751245433411
SUBSA,0.0021033986493966565
TangoLab-2,0.0019373408612863943
EXHAM,0.001771283073176132
Spectrum,0.001771283073176132
PCRF,0.0017159304771393778
BFF,0.0016605778811026237
MISSE-FF,0.0016052252850658696
MSRR-1,0.0015498726890291155
Bone Densitometer,0.0014945200929923613
Double Coldbag,0.0014945200929923613
NanoRacks External Platform,0.0013838149009188531
TangoLab-1,0.001328462304882099
BRIC,0.001328462304882099
Acoustic Diagnostics,0.0011624045167718366
SAMS-II,0.0011070519207350825
Confocal Microscope,0.0011070519207350825
BXF,0.0010516993246983282
SoFIE,0.0010516993246983282
ICE Cubes,0.0010516993246983282
CBPD,0.0010516993246983282
NanoRacks Platforms,0.0009963467286615742
iRED,0.0009409941326248201
Mochii,0.0009409941326248201
JEM-EF,0.0009409941326248201
SALI,0.0009409941326248201
Cyclops,0.0007749363445145578
MUSES,0.0007749363445145578
ADSEP,0.0007749363445145578
MMD,0.0007749363445145578
SlingShot,0.0007749363445145578
NanoRacks Plate Reader,0.0007749363445145578
LIDAL,0.0007749363445145578
ELITE-S2,0.0007195837484778036
GN2,0.0007195837484778036
Bioculture System,0.0007195837484778036
EFU Adapter,0.0006642311524410495
Bartolomeo,0.0005535259603675413
Nanoracks Airlock,0.0005535259603675413
CellCult,0.0005535259603675413
Bio-Analyzer,0.0004981733643307871
KERMIT,0.000442820768294033
Cryo Chiller,0.000442820768294033
MVIS,0.000442820768294033
Iceberg,0.000442820768294033
JAXA Mouse Habitat Unit,0.000442820768294033
Hermes,0.000442820768294033
PGB,0.0003874681722572789
PFMI,0.0003874681722572789
ISERV,0.0003874681722572789
HSRC,0.00033211557622052476
Wet Lab RNA SmartCycler,0.00033211557622052476
CCE,0.00033211557622052476
NanoRacks-extCygnus-NRCSD,0.00033211557622052476
TELLAS,0.00027676298018377063
Wearable Monitoring,0.00027676298018377063
MAMS,0.00027676298018377063
Fruit Fly Lab,0.00027676298018377063
EuTEF,0.0002214103841470165
FRIDGE,0.0002214103841470165
NanoRacks Microscopes,0.00016605778811026238
SCAN Testbed,0.00016605778811026238
IPU2,0.00016605778811026238
Biotube,0.00016605778811026238
Faraday Research,0.00016605778811026238
FPC,0.00016605778811026238
MSPR-2,0.00016605778811026238
ABS,0.00016605778811026238
MIS Fiber,0.00011070519207350825
BioServe Microscope,0.00011070519207350825
Glovebox Freezer,0.00011070519207350825
Mobile SpaceLab,0.00011070519207350825
KOBAIRO Rack,5.535259603675413e-05
Wet Lab Kit,5.535259603675413e-05
GASMAP,5.535259603675413e-05
ADSEP-2,5.535259603675413e-05
STaARS-1 EF,5.535259603675413e-05
NanoRacks Microsat Deployer,5.535259603675413e-05
BSTC,5.535259603675413e-05
PERSEO,5.535259603675413e-05
BIOKON,5.535259603675413e-05
Programmable Isolation Mount,5.535259603675413e-05
NanoRacks-GoPro Fusion,0.0
EFU Adapter2,0.0
PCG-STES,0.0
EDR-2,0.0
ADF,0.0
SPySE,0.0
NanoRacks Astrium Centrifuge,0.0
BTR,0.0
AEM,0.0
GAP-FPA,0.0
GCF,0.0
BioServe Centrifuge,0.0
MQ-Warmchain,0.0
MOBIAS,0.0
HGD-PFD,0.0
APCF,0.0
SPACE DREAMS,0.0
DDVS,0.0
HPA,0.0
In Situ Chemiluminescent Reader,0.0
CRIM-M,0.0
ARCTIC,0.0
Bioimpedance Analyzer,0.0
Columbus-EPF,0.0
Carbon Dioxide Meter,0.0
Astro Garden,0.0
MicroPREP,0.0
Mini Coldbag,0.0
BioChip SpaceLab,0.0
Nanoracks Nanode,0.0
