,0
ARED,0.27859908482928547
TVIS,0.22439281942977823
CEVIS,0.2096092925026399
MELFI,0.19658570925730376
COLBERT,0.1726504751847941
Actiwatch,0.10946849700809574
MSG,0.10383667722632876
CIR,0.10049278423090462
Ultrasound,0.09802886307638156
EXPRESS Rack,0.0916930658218937
Holter,0.0695177754311862
CBEF,0.06212601196761704
HRF-1,0.0617740232312566
EPM,0.0501583949313622
Solar,0.049982400563181976
Rodent Research,0.04822245688137979
CGBA,0.046990496304118265
RC,0.04611052446321718
Veggie,0.04558254135867652
PFS,0.03889475536782823
FIR,0.038542766631467794
MWA,0.03555086237240408
WORF,0.03467089053150299
MSPR,0.034318901795142555
Holter Monitor 2,0.030975008799718408
ELC,0.030447025695177755
LMM,0.030447025695177755
Astrobee,0.03009503695881732
SPHERES,0.028863076381555792
Portable Pulmonary Function System,0.027807110172474482
SABL,0.027103132699753608
MERLIN,0.026751143963393172
Plant Habitat,0.026399155227032733
MMD,0.024463217177050335
MSL,0.02270327349524815
SLAMMD,0.022175290390707498
GLACIER,0.021471312917986624
ELF,0.021295318549806406
Spectrum,0.021295318549806406
IPU,0.020415346708905314
Ultrasound 2,0.019359380499824004
EDR,0.019183386131643786
FPEF,0.01900739176346357
Bio-Monitor,0.018655403027103133
CB,0.018479408658922915
PCBA,0.017247448081661388
Actiwatch Spectrum,0.016191481872580078
FSL,0.01601548750439986
J-SSOD,0.01583949313621964
MARES,0.014079549454417459
Saibo,0.014079549454417459
EMCS,0.013551566349876804
AMF,0.013551566349876804
ALTEA,0.013023583245336149
Polar,0.013023583245336149
LSG,0.012671594508975714
Kubik,0.012495600140795494
Cold Atom Lab,0.012319605772615276
BFF,0.012143611404435059
NanoRacks CubeSat Deployer,0.011615628299894404
CBEF-L,0.011439633931714184
GHF,0.010735656458993312
Ryutai,0.010559662090813094
EML,0.010383667722632876
TEPC,0.009855684618092221
SoFIE,0.009679690249912002
MVP,0.00897571277719113
LSR,0.008799718409010912
SCOF,0.008623724040830694
ABRS,0.008623724040830694
SUBSA,0.008447729672650475
Aquatic Habitat,0.008271735304470257
FROST,0.008095740936290039
MDS,0.007743752199929602
HRF-2,0.007567757831749384
FOP,0.007567757831749384
DECLIC,0.007567757831749384
