,First Date,Last Date,Largest Report Mention Gap
CIR,4/4/16,8/15/16,88
MELFI,8/25/21,1/10/22,95
ARED,8/19/13,1/9/14,102
MSG,6/28/19,12/17/19,112
Ultrasound,9/10/18,3/12/19,126
Actiwatch,3/16/18,10/9/18,146
Solar,4/10/12,9/15/12,158
CEVIS,9/24/18,5/29/19,169
CBEF,10/25/12,8/30/13,182
FIR,12/10/21,12/5/22,243
EXPRESS Rack,11/18/13,12/1/14,260
MWA,7/28/22,8/22/23,264
Ryutai,9/11/15,10/20/16,269
GLACIER,4/8/20,7/2/21,302
MERLIN,3/11/20,6/15/21,307
ELC,7/13/20,12/1/21,343
MSL,12/23/14,5/20/16,348
EPM,6/8/16,11/27/17,367
Portable Pulmonary Function System,1/11/18,7/8/19,371
PFS,1/11/18,7/8/19,371
SCOF,2/13/11,4/8/12,399
EDR,8/14/12,4/1/14,402
Polar,12/6/12,10/2/14,413
WORF,6/6/19,3/31/21,435
FPEF,12/1/16,1/22/19,535
Saibo,3/1/11,9/18/12,545
IPU,9/28/16,1/22/19,580
FSL,6/19/14,11/9/16,593
CB,3/30/15,10/2/17,624
ICF,7/11/14,2/14/17,644
LMM,11/3/21,7/23/24,669
Spectrum,8/27/21,7/23/24,717
SLAMMD,11/3/14,9/27/17,721
MMD,11/3/14,9/27/17,721
MSPR,1/1/09,1/31/11,759
PCRF,3/25/18,5/12/21,766
Kubik,12/27/11,11/19/14,789
DECLIC,7/2/18,10/6/21,797
MARES,8/10/18,1/4/22,830
SAMS-II,9/12/12,3/3/16,849
Holter,1/16/18,8/25/21,883
Double Coldbag,11/1/12,7/19/16,889
BioLab,10/14/10,8/27/13,896
CGBA,7/25/16,3/9/20,896
KFT,1/11/18,9/9/21,897
Ultrasound 2,1/1/09,8/21/11,938
RC,9/17/20,7/23/24,946
GN2,1/19/18,4/19/22,1044
ARISS,3/12/14,8/10/18,1096
TEPC,7/4/17,1/11/22,1107
SPHERES,1/2/20,7/23/24,1118
Actiwatch Spectrum,7/24/19,7/23/24,1223
CBPD,2/16/15,2/3/20,1228
HRF-1,11/6/12,2/13/18,1277
HRF-2,10/2/12,3/29/18,1342
NanoRacks Plate Reader,1/1/09,12/2/12,1406
BRIC,1/1/09,3/8/13,1427
Bioculture System,1/1/09,3/12/13,1429
NanoRacks Platforms,1/1/09,6/28/13,1504
EMCS,5/31/18,7/23/24,1507
MVP,4/17/12,4/4/18,1513
RAM,4/26/18,7/23/24,1531
GHF,12/19/14,3/31/21,1545
FROST,1/1/09,8/27/13,1546
Plant Habitat,11/2/11,10/25/17,1570
ELITE-S2,12/26/14,6/25/21,1600
J-SSOD,1/1/09,11/14/13,1600
ABRS,12/28/17,7/23/24,1612
MSRR-1,10/5/11,12/8/17,1629
NanoRacks CubeSat Deployer,1/1/09,1/30/14,1657
ALTEA,11/14/12,10/2/19,1674
Veggie,1/1/09,5/6/14,1718
SCAN Testbed,1/1/09,5/8/14,1720
MVIS,3/20/11,11/1/17,1780
EML,1/1/09,8/11/14,1786
Rodent Research,1/1/09,9/15/14,1809
Cyclops,1/1/09,11/23/14,1857
Fruit Fly Lab,1/1/09,12/9/14,1867
Bone Densitometer,1/1/09,12/24/14,1878
CCE,10/21/16,7/23/24,1909
COLBERT,12/21/12,4/2/21,1997
JEM-EF,9/12/09,8/3/16,2021
TVIS,5/28/13,8/25/21,2037
MSPR-2,1/1/09,8/31/15,2051
Holter Monitor 2,5/7/13,8/25/21,2051
EXHAM,1/1/09,11/10/15,2097
ELF,1/1/09,1/11/16,2136
SABL,1/1/09,2/22/16,2166
AMF,1/1/09,3/22/16,2185
EFU Adapter,1/1/09,3/29/16,2190
Wet Lab RNA SmartCycler,1/1/09,4/14/16,2201
Wearable Monitoring,6/5/15,7/23/24,2246
JAXA Mouse Habitat Unit,1/1/09,7/21/16,2265
