,0
ARED,0.08588324652777778
TVIS,0.06917317708333333
CEVIS,0.06461588541666667
MELFI,0.060601128472222224
COLBERT,0.05322265625
Actiwatch,0.032063802083333336
MSG,0.03200954861111111
CIR,0.030978732638888888
EXPRESS Rack,0.028266059027777776
Ultrasound,0.028049045138888888
HRF-1,0.01904296875
CBEF,0.0185546875
EPM,0.015462239583333334
Solar,0.015407986111111112
Rodent Research,0.014865451388888888
CGBA,0.014485677083333334
RC,0.014214409722222222
Holter,0.014051649305555556
Veggie,0.014051649305555556
FIR,0.011881510416666666
MWA,0.010959201388888888
WORF,0.010687934027777778
MSPR,0.010470920138888888
PFS,0.009711371527777778
Holter Monitor 2,0.009548611111111112
ELC,0.009385850694444444
LMM,0.009385850694444444
Astrobee,0.00927734375
SPHERES,0.008897569444444444
Portable Pulmonary Function System,0.008572048611111112
SABL,0.008355034722222222
MERLIN,0.008246527777777778
Plant Habitat,0.008138020833333334
MSL,0.006998697916666667
SLAMMD,0.0068359375
GLACIER,0.006618923611111111
ELF,0.006564670138888889
IPU,0.006076388888888889
Ultrasound 2,0.005967881944444444
FPEF,0.005859375
Bio-Monitor,0.005750868055555556
EDR,0.005750868055555556
CB,0.005696614583333333
PCBA,0.005316840277777778
Actiwatch Spectrum,0.004991319444444444
FSL,0.004937065972222222
J-SSOD,0.0048828125
Saibo,0.004340277777777778
MARES,0.004340277777777778
AMF,0.004177517361111111
EMCS,0.004177517361111111
Polar,0.004014756944444444
ALTEA,0.004014756944444444
LSG,0.00390625
Kubik,0.003851996527777778
Cold Atom Lab,0.0037977430555555555
BFF,0.0037434895833333335
NanoRacks CubeSat Deployer,0.0035807291666666665
CBEF-L,0.0035264756944444445
GHF,0.0033094618055555555
Ryutai,0.0032552083333333335
EML,0.003200954861111111
TEPC,0.0030381944444444445
SoFIE,0.002983940972222222
MVP,0.0027669270833333335
LSR,0.002712673611111111
SCOF,0.002658420138888889
ABRS,0.002658420138888889
SUBSA,0.0026041666666666665
Aquatic Habitat,0.0025499131944444445
FROST,0.002495659722222222
MDS,0.002387152777777778
DECLIC,0.0023328993055555555
FOP,0.0023328993055555555
HRF-2,0.0023328993055555555
BioLab,0.0022786458333333335
ARISS,0.002224392361111111
Space Fibers,0.0021158854166666665
KFT,0.0021158854166666665
TangoLab-2,0.0018988715277777778
ICE Cubes,0.0018988715277777778
PCRF,0.0017903645833333333
Spectrum,0.001736111111111111
EXHAM,0.001736111111111111
Confocal Microscope,0.001736111111111111
MSRR-1,0.001736111111111111
MISSE-FF,0.0016276041666666667
NanoRacks External Platform,0.0016276041666666667
Double Coldbag,0.0015733506944444445
UNIGLO,0.0015733506944444445
ADSEP,0.0015190972222222222
BRIC,0.0015190972222222222
Bone Densitometer,0.00146484375
KERMIT,0.00146484375
TangoLab-1,0.0014105902777777778
SAMS-II,0.0013020833333333333
RAM,0.001247829861111111
Mochii,0.0011393229166666667
Acoustic Diagnostics,0.0011393229166666667
CBPD,0.0010850694444444445
BXF,0.0010308159722222222
JEM-EF,0.0010308159722222222
NanoRacks Platforms,0.0009765625
GN2,0.0009223090277777778
iRED,0.0009223090277777778
UMS,0.0008138020833333334
MUSES,0.0008138020833333334
LIDAL,0.0008138020833333334
NanoRacks Plate Reader,0.0007595486111111111
Iceberg,0.0007595486111111111
SlingShot,0.0007595486111111111
Cyclops,0.0007595486111111111
Nanoracks Airlock,0.0007595486111111111
MMD,0.0007595486111111111
EFU Adapter,0.0007052951388888889
ELITE-S2,0.0007052951388888889
Bioculture System,0.0007052951388888889
Bartolomeo,0.0006510416666666666
TELLAS,0.0005425347222222222
CellCult,0.0005425347222222222
Bio-Analyzer,0.00048828125
PFMI,0.00048828125
ETC,0.00043402777777777775
ADSEP-2,0.00043402777777777775
Cryo Chiller,0.00043402777777777775
MVIS,0.00043402777777777775
JAXA Mouse Habitat Unit,0.00043402777777777775
Hermes,0.00043402777777777775
ISERV,0.00043402777777777775
SALI,0.00043402777777777775
PGB,0.00037977430555555556
MSTIC,0.00037977430555555556
CCE,0.0003255208333333333
MAMS,0.0003255208333333333
Wet Lab RNA SmartCycler,0.0003255208333333333
HSRC,0.0003255208333333333
Tissue Engineered Liver,0.0003255208333333333
NanoRacks-extCygnus-NRCSD,0.0003255208333333333
Wearable Monitoring,0.0002712673611111111
Fruit Fly Lab,0.0002712673611111111
ICF,0.0002712673611111111
Glovebox Freezer,0.0002712673611111111
MSPR-2,0.00021701388888888888
FRIDGE,0.00021701388888888888
MSFO,0.00021701388888888888
EuTEF,0.00021701388888888888
EDR-2,0.00021701388888888888
IPU2,0.00021701388888888888
Biotube,0.00016276041666666666
Faraday Research,0.00016276041666666666
SCAN Testbed,0.00016276041666666666
IGO,0.00016276041666666666
NanoRacks Microscopes,0.00016276041666666666
Mobile SpaceLab,0.00010850694444444444
STaARS-1 EF,0.00010850694444444444
SPySE,0.00010850694444444444
TCMM,0.00010850694444444444
BioServe Microscope,0.00010850694444444444
BioServe Centrifuge,0.00010850694444444444
BSTC,5.425347222222222e-05
GASMAP,5.425347222222222e-05
ABS,5.425347222222222e-05
KOBAIRO Rack,5.425347222222222e-05
Wet Lab Kit,5.425347222222222e-05
NanoRacks Microsat Deployer,5.425347222222222e-05
Programmable Isolation Mount,5.425347222222222e-05
PERSEO,5.425347222222222e-05
Protein-Based Artificial Retinas,0.0
TSCM,0.0
BOX,0.0
ADF,0.0
ISSCOR,0.0
VAM,0.0
HMFG,0.0
Industrial Cell Production Lab,0.0
Nanoligomer,0.0
Stem Cell Production,0.0
JBN,0.0
CRF,0.0
NeuroSpan Bridge,0.0
HSC,0.0
Semimetal-Semiconductor Composite Bulk Crystals,0.0
BEOL,0.0
FPC,0.0
AEM,0.0
APCF,0.0
GAP-FPA,0.0
GCF,0.0
HGD-PFD,0.0
EFU Adapter2,0.0
HPA,0.0
In Situ Chemiluminescent Reader,0.0
DDVS,0.0
CRIM-M,0.0
Columbus-EPF,0.0
MicroPREP,0.0
Mini Coldbag,0.0
MOBIAS,0.0
MQ-Warmchain,0.0
Carbon Dioxide Meter,0.0
NanoRacks Astrium Centrifuge,0.0
BTR,0.0
Nanoracks Nanode,0.0
NanoRacks-GoPro Fusion,0.0
PCG-STES,0.0
BIOKON,0.0
Bioimpedance Analyzer,0.0
BioChip SpaceLab,0.0
Astro Garden,0.0
SPACE DREAMS,0.0
ARCTIC,0.0
Orbital Stem Cell Laboratory,0.0
