,itemsets,Distance
2341,"frozenset({'EDR', 'COLBERT'})",4
2356,"frozenset({'MELFI', 'UMS'})",4
1471,"frozenset({'ARED', 'EPM'})",4
2358,"frozenset({'IPU', 'UMS'})",4
1454,"frozenset({'DECLIC', 'TVIS'})",4
1470,"frozenset({'TVIS', 'EPM'})",4
1465,"frozenset({'COLBERT', 'EPM'})",4
1597,"frozenset({'MARES', 'COLBERT'})",4
2623,"frozenset({'TVIS', 'ABRS'})",4
1339,"frozenset({'TVIS', 'MELFI'})",4
1569,"frozenset({'GHF', 'ARED'})",4
2414,"frozenset({'Plant Habitat', 'ARED'})",4
1978,"frozenset({'ARED', 'IPU'})",4
1618,"frozenset({'TVIS', 'CB'})",4
1337,"frozenset({'MELFI', 'ARED'})",4
3003,"frozenset({'CB', 'Nanoracks Airlock'})",4
2462,"frozenset({'FSL', 'ARED'})",4
1616,"frozenset({'CB', 'ARED'})",4
2351,"frozenset({'CB', 'UMS'})",4
1624,"frozenset({'TVIS', 'CBEF'})",4
1633,"frozenset({'MWA', 'ARED'})",3
642,"frozenset({'Actiwatch', 'TVIS'})",3
640,"frozenset({'Actiwatch', 'ARED'})",3
638,"frozenset({'Actiwatch', 'COLBERT'})",3
1469,"frozenset({'Ultrasound', 'EPM'})",2
2586,"frozenset({'HRF-2', 'ARED'})",2
2614,"frozenset({'RC', 'ABRS'})",2
2562,"frozenset({'SCOF', 'FIR'})",2
1935,"frozenset({'ETC', 'MSG'})",2
1931,"frozenset({'ETC', 'CB'})",2
2020,"frozenset({'COLBERT', 'FIR'})",2
560,"frozenset({'MELFI', 'WORF'})",2
1839,"frozenset({'Ultrasound 2', 'ARED'})",2
2026,"frozenset({'ARED', 'FIR'})",2
2979,"frozenset({'Veggie', 'MMD'})",2
2029,"frozenset({'Veggie', 'FIR'})",2
2624,"frozenset({'Veggie', 'ABRS'})",2
1945,"frozenset({'MSG', 'PCRF'})",2
2966,"frozenset({'RC', 'HSRC'})",2
2767,"frozenset({'MELFI', 'Kubik'})",2
2841,"frozenset({'BFF', 'ELF'})",2
1982,"frozenset({'IPU', 'FIR'})",2
1977,"frozenset({'CEVIS', 'IPU'})",2
2842,"frozenset({'BFF', 'CB'})",2
1975,"frozenset({'WORF', 'IPU'})",2
1745,"frozenset({'MELFI', 'Solar'})",2
2621,"frozenset({'ABRS', 'SLAMMD'})",2
2406,"frozenset({'Plant Habitat', 'CGBA'})",2
1742,"frozenset({'Solar', 'BXF'})",2
2756,"frozenset({'EMCS', 'LSG'})",2
2745,"frozenset({'Solar', 'GN2'})",2
2744,"frozenset({'Plant Habitat', 'GN2'})",2
2598,"frozenset({'MVIS', 'MSG'})",2
2582,"frozenset({'HRF-2', 'EPM'})",2
2743,"frozenset({'GN2', 'EPM'})",2
1593,"frozenset({'MARES', 'WORF'})",2
2617,"frozenset({'MSG', 'ABRS'})",2
1466,"frozenset({'MELFI', 'EPM'})",2
3042,"frozenset({'RC', 'NanoRacks-extCygnus-NRCSD'})",2
1922,"frozenset({'LMM', 'Veggie'})",2
2758,"frozenset({'MELFI', 'LSG'})",2
2770,"frozenset({'CEVIS', 'Kubik'})",2
1910,"frozenset({'MDS', 'Saibo'})",2
2769,"frozenset({'Kubik', 'CGBA'})",2
1338,"frozenset({'CEVIS', 'MELFI'})",2
2434,"frozenset({'MSRR-1', 'MELFI'})",2
2869,"frozenset({'ADSEP-2', 'ADSEP'})",2
2015,"frozenset({'JEM-EF', 'Solar'})",2
2622,"frozenset({'CGBA', 'ABRS'})",2
1451,"frozenset({'DECLIC', 'MDS'})",2
1912,"frozenset({'MDS', 'ABRS'})",2
1833,"frozenset({'RC', 'COLBERT'})",2
2625,"frozenset({'LMM', 'ABRS'})",2
554,"frozenset({'TVIS', 'WORF'})",2
1685,"frozenset({'CGBA', 'ARED'})",2
1744,"frozenset({'CB', 'Solar'})",2
1973,"frozenset({'Holter', 'IPU'})",2
1688,"frozenset({'CB', 'CGBA'})",2
2336,"frozenset({'EDR', 'MELFI'})",2
2453,"frozenset({'FSL', 'CGBA'})",2
2860,"frozenset({'J-SSOD', 'RC'})",2
2463,"frozenset({'FSL', 'MSG'})",2
553,"frozenset({'COLBERT', 'WORF'})",2
2978,"frozenset({'MELFI', 'MMD'})",2
1728,"frozenset({'CIR', 'ARED'})",2
175,"frozenset({'PFS', 'ARED'})",2
2012,"frozenset({'JEM-EF', 'RC'})",2
1623,"frozenset({'MSG', 'CBEF'})",2
2814,"frozenset({'CB', 'SABL'})",2
2339,"frozenset({'EDR', 'CGBA'})",2
1730,"frozenset({'CIR', 'MELFI'})",2
2343,"frozenset({'EDR', 'CEVIS'})",2
2344,"frozenset({'EDR', 'Plant Habitat'})",2
2840,"frozenset({'BFF', 'MELFI'})",2
1594,"frozenset({'MARES', 'SLAMMD'})",2
1580,"frozenset({'Ultrasound', 'MELFI'})",2
1413,"frozenset({'MSG', 'ARED'})",2
1467,"frozenset({'RC', 'EPM'})",2
162,"frozenset({'CEVIS', 'ARED'})",2
2893,"frozenset({'FROST', 'SABL'})",2
2410,"frozenset({'Plant Habitat', 'SABL'})",2
2927,"frozenset({'RC', 'EXHAM'})",2
2601,"frozenset({'MELFI', 'MVP'})",2
2954,"frozenset({'Bone Densitometer', 'MELFI'})",2
2853,"frozenset({'NanoRacks External Platform', 'Solar'})",2
1617,"frozenset({'CB', 'RC'})",2
2877,"frozenset({'CellCult', 'SABL'})",2
1743,"frozenset({'RC', 'Solar'})",2
2741,"frozenset({'MSPR', 'GN2'})",2
552,"frozenset({'ARED', 'WORF'})",2
2878,"frozenset({'CellCult', 'MSG'})",2
2742,"frozenset({'ELF', 'GN2'})",2
2740,"frozenset({'EMCS', 'GN2'})",2
1645,"frozenset({'CIR', 'FPEF'})",2
1837,"frozenset({'Ultrasound 2', 'EPM'})",2
1979,"frozenset({'MSG', 'IPU'})",2
2867,"frozenset({'SABL', 'ADSEP'})",2
2818,"frozenset({'CBEF', 'SABL'})",2
1596,"frozenset({'MARES', 'MELFI'})",2
2813,"frozenset({'ICE Cubes', 'CEVIS'})",2
1908,"frozenset({'CB', 'MDS'})",2
2600,"frozenset({'CB', 'MVP'})",2
2848,"frozenset({'Confocal Microscope', 'SABL'})",2
2804,"frozenset({'EML', 'TangoLab-2'})",2
2788,"frozenset({'BioLab', 'MELFI'})",2
2852,"frozenset({'NanoRacks External Platform', 'RC'})",2
2353,"frozenset({'CIR', 'UMS'})",2
2751,"frozenset({'MELFI', 'BRIC'})",2
2408,"frozenset({'Plant Habitat', 'WORF'})",2
2454,"frozenset({'FSL', 'Ultrasound 2'})",2
1601,"frozenset({'CIR', 'MARES'})",2
1602,"frozenset({'MARES', 'Ultrasound 2'})",2
2464,"frozenset({'FSL', 'FPEF'})",2
2386,"frozenset({'TVIS', 'SLAMMD'})",2
1599,"frozenset({'MSG', 'MARES'})",2
2413,"frozenset({'CIR', 'Plant Habitat'})",2
2465,"frozenset({'FSL', 'FIR'})",2
2456,"frozenset({'FSL', 'WORF'})",2
1906,"frozenset({'MDS', 'MELFI'})",2
2357,"frozenset({'CGBA', 'UMS'})",2
1731,"frozenset({'CIR', 'CB'})",2
2340,"frozenset({'EDR', 'MSG'})",2
1684,"frozenset({'COLBERT', 'CGBA'})",2
2019,"frozenset({'MELFI', 'FIR'})",2
2378,"frozenset({'MELFI', 'SLAMMD'})",2
2455,"frozenset({'FSL', 'SLAMMD'})",2
2460,"frozenset({'FSL', 'MELFI'})",2
1687,"frozenset({'TVIS', 'CGBA'})",2
555,"frozenset({'Solar', 'WORF'})",2
180,"frozenset({'TVIS', 'PFS'})",2
174,"frozenset({'CB', 'PFS'})",2
170,"frozenset({'PFS', 'EPM'})",2
1545,"frozenset({'EMCS', 'MELFI'})",2
1468,"frozenset({'CEVIS', 'EPM'})",2
1415,"frozenset({'TVIS', 'MSG'})",2
1732,"frozenset({'TVIS', 'CIR'})",2
1414,"frozenset({'MSG', 'MELFI'})",2
2461,"frozenset({'FSL', 'CEVIS'})",2
1658,"frozenset({'Holter', 'EPM'})",2
2425,"frozenset({'TVIS', 'MSL'})",2
1650,"frozenset({'FPEF', 'FIR'})",2
2421,"frozenset({'MELFI', 'MSL'})",2
1663,"frozenset({'Holter', 'CBEF'})",2
2810,"frozenset({'MELFI', 'Veggie'})",2
2817,"frozenset({'SABL', 'MELFI'})",2
1686,"frozenset({'CGBA', 'EPM'})",2
179,"frozenset({'PFS', 'COLBERT'})",2
2862,"frozenset({'RC', 'NanoRacks CubeSat Deployer'})",2
2866,"frozenset({'BFF', 'ADSEP'})",2
163,"frozenset({'TVIS', 'CEVIS'})",2
2857,"frozenset({'J-SSOD', 'MUSES'})",2
1683,"frozenset({'MELFI', 'CGBA'})",2
1332,"frozenset({'CEVIS', 'COLBERT'})",2
1832,"frozenset({'RC', 'MELFI'})",2
1574,"frozenset({'TVIS', 'Ultrasound'})",2
1576,"frozenset({'Ultrasound', 'COLBERT'})",2
2835,"frozenset({'EML', 'ELF'})",2
1554,"frozenset({'EMCS', 'SAMS-II'})",2
1453,"frozenset({'DECLIC', 'MSL'})",2
2820,"frozenset({'MSPR', 'SABL'})",2
1455,"frozenset({'DECLIC', 'MSG'})",2
1575,"frozenset({'Ultrasound', 'ARED'})",2
1934,"frozenset({'ETC', 'MSL'})",2
1659,"frozenset({'Holter', 'MELFI'})",2
1923,"frozenset({'LMM', 'MELFI'})",2
168,"frozenset({'PFS', 'MELFI'})",2
563,"frozenset({'Actiwatch', 'WORF'})",1
1497,"frozenset({'Holter', 'Actiwatch Spectrum'})",1
2615,"frozenset({'MWA', 'ABRS'})",1
1493,"frozenset({'Actiwatch Spectrum', 'EPM'})",1
1496,"frozenset({'Actiwatch Spectrum', 'HRF-1'})",1
2790,"frozenset({'BioLab', 'MWA'})",1
1639,"frozenset({'MSG', 'MWA'})",1
1638,"frozenset({'MWA', 'Solar'})",1
1637,"frozenset({'MWA', 'CGBA'})",1
1416,"frozenset({'Actiwatch', 'MSG'})",1
641,"frozenset({'Actiwatch', 'MELFI'})",1
2579,"frozenset({'Actiwatch', 'HRF-2'})",1
1739,"frozenset({'Actiwatch', 'HRF-1'})",1
1974,"frozenset({'MWA', 'IPU'})",1
2411,"frozenset({'Plant Habitat', 'MWA'})",1
1635,"frozenset({'RC', 'MWA'})",1
