,support,itemsets,length,frequency
90,0.12447331460674158,frozenset({'MELFI'}),1,1418
32,0.10217696629213484,frozenset({'COLBERT'}),1,1164
8,0.056091994382022475,frozenset({'Actiwatch'}),1,639
125,0.052844101123595506,frozenset({'RC'}),1,602
95,0.05152738764044944,frozenset({'MSG'}),1,587
25,0.05108848314606742,frozenset({'CB'}),1,582
147,0.048718398876404494,frozenset({'Ultrasound'}),1,555
50,0.04854283707865169,frozenset({'EXPRESS Rack'}),1,553
31,0.048367275280898875,frozenset({'CIR'}),1,551
26,0.03028441011235955,frozenset({'CBEF'}),1,345
65,0.029757724719101125,frozenset({'HRF-1'}),1,339
200,0.026509831460674156,"frozenset({'Actiwatch', 'HRF-1'})",2,302
47,0.026334269662921347,frozenset({'EPM'}),1,300
30,0.024315308988764044,frozenset({'CGBA'}),1,277
126,0.024315308988764044,frozenset({'Rodent Research'}),1,277
69,0.02405196629213483,frozenset({'Holter'}),1,274
677,0.023174157303370788,"frozenset({'MELFI', 'RC'})",2,264
140,0.020628511235955056,frozenset({'Solar'}),1,235
149,0.019750702247191013,frozenset({'Veggie'}),1,225
103,0.019575140449438203,frozenset({'MWA'}),1,223
52,0.019224016853932584,frozenset({'FIR'}),1,219
118,0.019048455056179775,frozenset({'PFS'}),1,217
150,0.017029494382022472,frozenset({'WORF'}),1,194
42,0.016502808988764044,frozenset({'ELC'}),1,187
369,0.01580056179775281,"frozenset({'COLBERT', 'Ultrasound'})",2,180
70,0.01580056179775281,frozenset({'Holter Monitor 2'}),1,180
134,0.01544943820224719,frozenset({'SPHERES'}),1,176
84,0.015361657303370786,frozenset({'LMM'}),1,175
97,0.014922752808988764,frozenset({'MSPR'}),1,170
319,0.01386938202247191,"frozenset({'CGBA', 'EXPRESS Rack'})",2,158
122,0.013606039325842697,frozenset({'Portable Pulmonary Function System'}),1,155
203,0.012903792134831461,"frozenset({'Actiwatch', 'Holter Monitor 2'})",2,147
750,0.012816011235955056,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,146
91,0.012728230337078652,frozenset({'MERLIN'}),1,145
128,0.012552668539325842,frozenset({'SABL'}),1,143
199,0.012377106741573034,"frozenset({'Actiwatch', 'EPM'})",2,141
133,0.01211376404494382,frozenset({'SLAMMD'}),1,138
510,0.011674859550561799,"frozenset({'FIR', 'LMM'})",2,133
62,0.011411516853932584,frozenset({'GLACIER'}),1,130
11,0.01114817415730337,frozenset({'Astrobee'}),1,127
72,0.009831460674157303,frozenset({'IPU'}),1,112
96,0.009655898876404494,frozenset({'MSL'}),1,109
54,0.00956811797752809,frozenset({'FPEF'}),1,109
120,0.009655898876404494,frozenset({'Plant Habitat'}),1,109
114,0.009304775280898877,frozenset({'PCBA'}),1,106
43,0.009041432584269662,frozenset({'ELF'}),1,103
148,0.008865870786516855,frozenset({'Ultrasound 2'}),1,101
835,0.00877808988764045,"frozenset({'Actiwatch', 'EPM', 'Holter Monitor 2'})",3,100
447,0.00877808988764045,"frozenset({'EPM', 'Holter Monitor 2'})",2,100
9,0.008690308988764045,frozenset({'Actiwatch Spectrum'}),1,99
40,0.008426966292134831,frozenset({'EDR'}),1,96
57,0.007900280898876405,frozenset({'FSL'}),1,90
48,0.007636938202247191,frozenset({'ETC'}),1,87
124,0.007461376404494382,frozenset({'RAM'}),1,85
88,0.007022471910112359,frozenset({'MARES'}),1,80
137,0.007022471910112359,frozenset({'Saibo'}),1,80
45,0.007022471910112359,frozenset({'EMCS'}),1,80
669,0.006934691011235955,"frozenset({'PCBA', 'MELFI'})",2,79
76,0.006934691011235955,frozenset({'J-SSOD'}),1,79
296,0.006583567415730337,"frozenset({'CBEF', 'MELFI'})",2,75
4,0.006495786516853933,frozenset({'ALTEA'}),1,74
5,0.00605688202247191,frozenset({'AMF'}),1,69
121,0.00605688202247191,frozenset({'Polar'}),1,69
745,0.005530196629213483,"frozenset({'PCBA', 'SLAMMD'})",2,62
681,0.005442415730337079,"frozenset({'SLAMMD', 'MELFI'})",2,62
1260,0.005442415730337079,"frozenset({'SLAMMD', 'PCBA', 'MELFI'})",3,62
779,0.005354634831460674,"frozenset({'Ultrasound 2', 'Ultrasound'})",2,61
27,0.0052668539325842695,frozenset({'CBEF-L'}),1,60
127,0.005091292134831461,frozenset({'Ryutai'}),1,58
106,0.005091292134831461,frozenset({'NanoRacks CubeSat Deployer'}),1,58
553,0.005003511235955056,"frozenset({'GLACIER', 'MELFI'})",2,57
61,0.005003511235955056,frozenset({'GHF'}),1,57
303,0.005003511235955056,"frozenset({'Saibo', 'CBEF'})",2,57
737,0.0049157303370786515,"frozenset({'NanoRacks CubeSat Deployer', 'RC'})",2,56
143,0.0049157303370786515,frozenset({'TEPC'}),1,56
82,0.004827949438202247,frozenset({'Kubik'}),1,54
194,0.004827949438202247,"frozenset({'Actiwatch Spectrum', 'Actiwatch'})",2,54
214,0.004476825842696629,"frozenset({'Actiwatch Spectrum', 'Holter Monitor 2'})",2,50
85,0.004389044943820225,frozenset({'LSG'}),1,50
19,0.004476825842696629,frozenset({'Bio-Monitor'}),1,50
0,0.004389044943820225,frozenset({'ABRS'}),1,50
46,0.00430126404494382,frozenset({'EML'}),1,49
287,0.004213483146067416,"frozenset({'CBEF', 'CBEF-L'})",2,48
102,0.004213483146067416,frozenset({'MVP'}),1,48
146,0.004037921348314607,frozenset({'UMS'}),1,46
86,0.004037921348314607,frozenset({'LSR'}),1,46
10,0.004125702247191011,frozenset({'Aquatic Habitat'}),1,46
89,0.004125702247191011,frozenset({'MDS'}),1,46
132,0.003950140449438202,frozenset({'SCOF'}),1,45
407,0.003950140449438202,"frozenset({'ELC', 'EXPRESS Rack'})",2,45
56,0.0038623595505617976,frozenset({'FROST'}),1,44
273,0.0038623595505617976,"frozenset({'MELFI', 'CB'})",2,44
202,0.0038623595505617976,"frozenset({'Actiwatch', 'Holter'})",2,44
523,0.0036867977528089887,"frozenset({'IPU', 'FPEF'})",2,42
38,0.0036867977528089887,frozenset({'DECLIC'}),1,42
20,0.0035990168539325844,frozenset({'BioLab'}),1,41
6,0.0035990168539325844,frozenset({'ARISS'}),1,41
66,0.0035112359550561797,frozenset({'HRF-2'}),1,40
80,0.0034234550561797754,frozenset({'KFT'}),1,39
136,0.0034234550561797754,frozenset({'SUBSA'}),1,39
711,0.0034234550561797754,"frozenset({'MSG', 'Rodent Research'})",2,39
34,0.0034234550561797754,frozenset({'Cold Atom Lab'}),1,39
210,0.0033356741573033707,"frozenset({'Actiwatch Spectrum', 'EPM'})",2,38
822,0.0033356741573033707,"frozenset({'Actiwatch Spectrum', 'Actiwatch', 'EPM'})",3,38
257,0.0030723314606741574,"frozenset({'CBEF', 'CB'})",2,35
145,0.0030723314606741574,frozenset({'TangoLab-2'}),1,35
477,0.0029845505617977527,"frozenset({'EXPRESS Rack', 'MERLIN'})",2,34
93,0.0028967696629213485,frozenset({'MISSE-FF'}),1,33
632,0.0028967696629213485,"frozenset({'MELFI', 'KFT'})",2,33
283,0.0028089887640449437,"frozenset({'Saibo', 'CB'})",2,32
141,0.0028089887640449437,frozenset({'Spectrum'}),1,32
49,0.0028089887640449437,frozenset({'EXHAM'}),1,32
115,0.0027212078651685395,frozenset({'PCRF'}),1,31
467,0.0026334269662921348,"frozenset({'GLACIER', 'EXPRESS Rack'})",2,30
554,0.0026334269662921348,"frozenset({'GLACIER', 'MERLIN'})",2,30
12,0.0026334269662921348,frozenset({'BFF'}),1,30
659,0.0026334269662921348,"frozenset({'MELFI', 'MERLIN'})",2,30
99,0.0025456460674157305,frozenset({'MSRR-1'}),1,29
24,0.0024578651685393258,frozenset({'Bone Densitometer'}),1,28
