Short Name,Full Name,Category,Sponsoring Space Agency,Module
ABRS,Advanced Biological Research System,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),JEM
ABS,Autonomous Biological System,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),
Acoustic Diagnostics,Acoustic Diagnostics Facility,Human Research,European Space Agency (ESA),Columbus
Actiwatch,Actiwatch,Human Research,National Aeronautics and Space Administration (NASA),Crew
Actiwatch Spectrum,Actiwatch Spectrum System,Human Research,National Aeronautics and Space Administration (NASA),Crew
ADF,Avian Development Facility,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),
ADSEP,ADvanced Space Experiment Processor,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),JEM
ADSEP-2,ADvanced Space Experiment Processor-2,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
AEM,Animal Enclosure Module,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),
ALTEA,Anomalous Long Term Effects in Astronauts' Central Nervous System Facility,Human Research,National Aeronautics and Space Administration (NASA),
APCF,Advanced Protein Crystallization Facility,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),US Lab
Aquatic Habitat,Aquatic Habitat,Biology and Biotechnology,Japan Aerospace Exploration Agency (JAXA),JEM
ARCTIC,ARCTIC Refrigerator and Freezer,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
ARED,Advanced Resistive Exercise Device,Human Research,National Aeronautics and Space Administration (NASA),Node 3
Astro Garden,Astro Garden,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),
Astrobee,Astrobee,Technology Development and Demonstration,National Aeronautics and Space Administration (NASA),JEM
Bartolomeo,Bartolomeo,Multipurpose,European Space Agency (ESA),Columbus
Bio-Analyzer,Bio-Analyzer,Biology and Biotechnology,Canadian Space Agency (CSA),Dependent
BioChip SpaceLab,BioChip SpaceLab,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),
Bioculture System,Bioculture System,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),Dependent
Bioimpedance Analyzer,Bioimpedance Analyzer,Human Research,European Space Agency (ESA),Columbus
BIOKON,BIOKON,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),
BioLab,Biological Experiment Laboratory,Multipurpose,European Space Agency (ESA),Columbus
Bio-Monitor,Bio-Monitor,Human Research,Canadian Space Agency (CSA),Dependent
BioServe Centrifuge,BioServe Centrifuge,Multipurpose,National Aeronautics and Space Administration (NASA),
BioServe Microscope,BioServe Microscope,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
Biotube,Biotube,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),
Bone Densitometer,Bone Densitometer,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),US Lab
BRIC,Biological Research In Canisters,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),US Lab
BSTC,Biotechnology Specimen Temperature Controller,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),US Lab
BTR,Biotechnology Temperature Refrigerator,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
BXF,Boiling eXperiment Facility,Physical Science,National Aeronautics and Space Administration (NASA),US Lab
Carbon Dioxide Meter,Carbon Dioxide Meter,Multipurpose,National Aeronautics and Space Administration (NASA),JEM
CB,Clean Bench,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
CBEF,Cell Biology Experiment Facility,Biology and Biotechnology,Japan Aerospace Exploration Agency (JAXA),JEM
CBEF-L,Cell Biology Experiment Facility-L,Biology and Biotechnology,Japan Aerospace Exploration Agency (JAXA),JEM
CBPD,Human Research Facility Continuous Blood Pressure Device,Human Research,National Aeronautics and Space Administration (NASA),
CCE,Chamber for Combustion Experiment,None,Japan Aerospace Exploration Agency (JAXA),JEM
CellCult,Cell Culturing,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),JEM
CEVIS,Cycle Ergometer with Vibration Isolation and Stabilization System,Human Research,National Aeronautics and Space Administration (NASA),US Lab
CGBA,Commercial Generic Bioprocessing Apparatus,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),US Lab
CIR,Combustion Integrated Rack - Fluids and Combustion Facility,Physical Science,National Aeronautics and Space Administration (NASA),US Lab
COLBERT,Combined Operational Load Bearing External Resistance Treadmill,Human Research,National Aeronautics and Space Administration (NASA),Node 3
Cold Atom Lab,Cold Atom Lab,Physical Science,National Aeronautics and Space Administration (NASA),US Lab
Columbus-EPF,Columbus - External Payload Facility,Earth and Space Science,European Space Agency (ESA),Columbus
Confocal Microscope,Confocal Space Microscope,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
CRIM-M,Commercial Refrigerator Incubator Module - Modified,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
Cryo Chiller,Cryo Chiller,Multipurpose,National Aeronautics and Space Administration (NASA),
Cyclops,Cyclops,Multipurpose,National Aeronautics and Space Administration (NASA),JEM
DDVS,Dextre Deployable Vision System,Technology Development and Demonstration,Canadian Space Agency (CSA),
DECLIC,Device for the Study of Critical Liquids and Crystallization,Physical Science,National Aeronautics and Space Administration (NASA),JEM
Double Coldbag,Double Coldbag,Multipurpose,National Aeronautics and Space Administration (NASA),Dependent
EDR,European Drawer Rack,Multipurpose,European Space Agency (ESA),Columbus
EDR-2,European Drawer Rack-2,Multipurpose,European Space Agency (ESA),Columbus
EFU Adapter,New JEM exposed facility platform for payloads of IVA supply experiments,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
EFU Adapter2,IVA Supply Exposed Experiment Platform Type2,Technology Development and Demonstration,Japan Aerospace Exploration Agency (JAXA),JEM
ELC,Expedite the Processing of Experiments to the Space Station Logistics Carrier,Earth and Space Science,National Aeronautics and Space Administration (NASA),
ELF,Electrostatic Levitation Furnace,Physical Science,Japan Aerospace Exploration Agency (JAXA),JEM
ELITE-S2,ELaboratore Immagini TElevisive - Space 2 Facility,Human Research,National Aeronautics and Space Administration (NASA),US Lab
EMCS,European Modular Cultivation System,Biology and Biotechnology,European Space Agency (ESA),Columbus
EML,Electromagnetic Levitator,Physical Science,European Space Agency (ESA),Columbus
EPM,European Physiology Module,Human Research,European Space Agency (ESA),Columbus
ETC,European Transportation Carrier,Multipurpose,European Space Agency (ESA),Columbus
EuTEF,European Technology Exposure Facility,Physical Science,European Space Agency (ESA),Columbus
EXHAM,Exposed Experiment Handrail Attachment Mechanism,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
