Facility,ISSAP type
ABRS,Plant
ABS,Biology
Acoustic Diagnostics,Environmental
Actiwatch,Crew health
Actiwatch Spectrum,Crew health
ADF,Biology
ADSEP,Biology
ADSEP-2,Biology
AEM,Biology
ALTEA,Crew health
AMF,3D printing
APCF,Chemistry
Aquatic Habitat,Biology
ARCTIC,Refrigeration
ARED,Crew health
Astro Garden,Plant
Astrobee,Robotics
Bartolomeo,External payloads
Bio-Analyzer,Crew health
BioChip SpaceLab,Biology
Bioculture System,Biology
BFF,Biology
Bioimpedance Analyzer,Crew health
BIOKON,Biology
BioLab,Biology
Bio-Monitor,Crew health
BioServe Centrifuge,Centrifuge
BioServe Microscope,Microscope
Biotube,Plant
Bone Densitometer,Crew health
BRIC,Biology
BSTC,Biology
BTR,Refrigeration
BXF,Combustion
Carbon Dioxide Meter,Environmental
CB,Glovebox
CBEF,Centrifuge
CBEF-L,Centrifuge
CBPD,Crew health
CCE,Combustion
CellCult,Biology
CEVIS,Crew health
CGBA,Biology
CIR,Furnace
COLBERT,Crew health
Cold Atom Lab,Physics
Columbus-EPF,External payloads
Confocal Microscope,Microscope
CRIM-M,Refrigeration
Cryo Chiller,Refrigeration
Cyclops,Satellite deployer
DDVS,Robotics
DECLIC,Fluids
Double Coldbag,Refrigeration
EDR,General science
EDR-2,General science
EFU Adapter,External payloads
EFU Adapter2,External payloads
ELC,External payloads
ELF,Furnace
ELITE-S2,Human research
EMCS,Plant
EML,Levitation
EPM,Crew health
ETC,Stowage
EuTEF,External payloads
EXHAM,External payloads
EXPRESS Rack,General science
Faraday Research,General science
FIR,Fluids
FPC,Fluids
FPEF,Fluids
FRIDGE,Refrigeration
FROST,Refrigeration
Fruit Fly Lab,Biology
FSL,Fluids
GASMAP,Crew health
GAP-FPA,Biology
GCF,Biology
GLACIER,Refrigeration
Glovebox Freezer,Refrigeration
GN2,General science
GHF,Furnace
Hermes,Materials
HGD-PFD,Human research
Holter,Crew health
Holter Monitor 2,Crew health
HPA,Human research
HRF-1,Crew health
HRF-2,Crew health
HSRC,External payloads
ICE Cubes,General science
Iceberg,Refrigeration
In Situ Chemiluminescent Reader,Crew health
IPU,Image processing
IPU2,Image processing
iRED,Crew health
ISERV,Earth observation
ARISS,Communication
JAXA Mouse Habitat Unit,Biology
JEM-EF,External payloads
J-SSOD,Satellite deployer
KERMIT,Microscope
KFT,Glovebox
KOBAIRO Rack,General science
Kubik,Incubator
LIDAL,Physics
LSG,Glovebox
LMM,Microscope
LSR,Life support
MAMS,Physics
AMF,3D printing
MARES,Crew health
MMD,Crew health
MDS,Biology
MELFI,Refrigeration
MERLIN,Refrigeration
MicroPREP,Biology
Mini Coldbag,Refrigeration
MIS Fiber,Materials
MISSE-FF,Materials
MOBIAS,Biology
Mobile SpaceLab,Biology
Mochii,Microscope
MQ-Warmchain,Heating
MSG,Glovebox
MSL,Furnace
MSPR,General science
MSPR-2,General science
MSRR-1,Materials
MUSES,Earth observation
MVIS,Vibration isolation
MVP,Centrifuge
MWA,Maintenance
Nanoracks Airlock,External payloads
NanoRacks Astrium Centrifuge,Centrifuge
NanoRacks CubeSat Deployer,Satellite deployer
NanoRacks External Platform,External payloads
NanoRacks Microsat Deployer,Satellite deployer
NanoRacks Microscopes,Microscope
Nanoracks Nanode,General science
NanoRacks Plate Reader,Biology
NanoRacks Platforms,General science
NanoRacks-extCygnus-NRCSD,Satellite deployer
NanoRacks-GoPro Fusion,Camera
PCBA,Crew health
PCG-STES,Biology
PCRF,Biology
PERSEO,Crew health
PFMI,Physics
PFS,Crew health
PGB,Glovebox
Plant Habitat,Plant
Polar,Refrigeration
Portable Pulmonary Function System,Crew health
Programmable Isolation Mount,Vibration isolation
RAM,Crew health
RC,Centrifuge
Rodent Research,Biology
Ryutai,General science
SABL,Incubator
Saibo,Biology
SALI,Incubator
SAMS-II,Physics
SCAN Testbed,Communication
SCOF,Microscope
SLAMMD,General science
SlingShot,Satellite deployer
SoFIE,Combustion
Solar,Astronomy
SUBSA,Physics
SPACE DREAMS,Crew health
Spectrum,Biology
SPHERES,Robotics
SPySE,General science
STaARS-1 EF,Biology
TangoLab-1,General science
TangoLab-2,General science
TELLAS,Biology
TEPC,Crew health
TVIS,Crew health
Ultrasound,Crew health
Ultrasound 2,Crew health
UMS,Crew health
Veggie,Plant
Wearable Monitoring,Crew health
Wet Lab Kit,Biology
Wet Lab RNA SmartCycler,Biology
WORF,Earth observation
